Source,Property,Value
historical_emissions_pik,Cautions: Known use limitations/cautions regarding: geographic/content coverage; source (inconsistency); methodology ,"Multiple scenarios are available by PRIMAP-hist. Climate Watch presents HISTCR where country-reported data are prioritized over third-party data, extrapolated data using AR4 GWP values.<br><br>When using this dataset or one of its updates, please also cite the data description article (Gutschow et al., 2016, http://doi.org/10.5194/essd-8-571-2016). <br><br>""The v2.4 release of PRIMAP-hist reduces the time-lag from 2 to 1 years. Thus we include data for 2021 while the last version (2.3.1) included data for 2019 only. For energy CO2 growth rates from the BP statistical review of world energy are used to extend the country reported (CR) or CDIAC (TP) data to 2021. For CO2 from cement production Andrew cement data are used. For all other sectors and gases no emission estimates exist. Thus PRIMAP-hist relies on numerical methods and uses a linear extrapolation based on the last 15 years. COVID-19 has primarily impacted energy related emissions and in tests with CRF data no impact of COVID in the performance of linear extrapolation of emissions data in the other sectors has been detected."""
historical_emissions_pik,Geographic Coverage: global; quasi-global; select regions/countries,Global
historical_emissions_pik,Date of Content: List all years; for multiple years (2001 - 2014),1850-2021
historical_emissions_pik,Frequency of Updates: annual; every x years/months/days; no updates planned,Annual
historical_emissions_pik,Summary of License,Creative Commons Attribution-NonCommercial 4.0 International license
historical_emissions_pik,Link to License or Terms of Service,https://creativecommons.org/licenses/by/4.0/
historical_emissions_pik,Citation,"Gütschow, J.; Pflüger, M. (2022): The PRIMAP-hist national historical emissions time series v2.4 (1750-2021). zenodo. doi:10.5281/zenodo.7179775.<br>Gütschow, J.; Jeffery, L.; Gieseke, R.; Gebel, R.; Stevens, D.; Krapp, M.; Rocha, M. (2016): The PRIMAP-hist national historical emissions time series, Earth Syst. Sci. Data, 8, 571-603, doi:10.5194/essd-8-571-2016"
historical_emissions_pik,Published Language,English
historical_emissions_unfccc,Title (75 character limit),UNFCCC historical emissions
historical_emissions_unfccc,Technical Title,UNFCCC GHG data
historical_emissions_unfccc,Source Organization,United Nations Framework Convention on Climate Change (UNFCCC)
historical_emissions_unfccc,Learn More Link,http://di.unfccc.int/
historical_emissions_unfccc,"Function/Summary: Tagline description of what data says 
(150 character limit)","Greenhous gas inventory data reported by parties to the UNFCCC, and published through UNFCCC's GHG data interface"
historical_emissions_unfccc,"Description: 
Recap data name, source organization
Objectives/ data type/ Methodology",The GHG data interface includes GHG data received by the UNFCCC secretariat as of 18 February 2022. The GHG inventory data from UNFCCC are provided in the annual GHG inventory submissions by Annex I Parties and in the national communications and biennial update reports by non-Annex I Parties.
historical_emissions_unfccc,Cautions: Known use limitations/cautions regarding: geographic/content coverage; source (inconsistency); methodology ,"For the purpose of Climate Watch, emissions estimates for EU(27) are calculated by adding up emissions inventories of 27 member countries of EU from UNFCCC Data Interface. <br><br>The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties. <br>Some non-Annex I Parties submitted their GHG inventory data using the format of the 2006 IPCC Guidelines in reporting GHG emissions/removals. For this reason, these data could not be included in the data interface. However, the data are available in the national communications (Andorra, Angola, Antigua and Barbuda, Armenia, Azerbaijan, Bahrain, Bangladesh, Bhutan, Brazil, Brunei Darussalam, Cabo Verde, Cook Islands, Costa Rica, Côte d'Ivoire, Colombia, Cuba, Equatorial Guinea, Eswatini, Fiji, Gabon, Gambia, Georgia, Grenada, Ghana, Honduras, Indonesia, Iran, Jamaica, Kuwait, Lesotho, Malaysia, Mauritania, Mauritius, Mexico, Mongolia, Montenegro, Morocco, Namibia, Nepal, Nicaragua, Nigeria, Panama, Oman, Republic of Moldova, Rwanda, Samoa, Serbia, Sierra Leone, Singapore, Somalia, South Africa, Suriname, Timor-Leste, Trinidad and Tobago, United Arab Emirates, Vanuatu, Venezuela, Viet Nam, and Zambia) and biennial update reports (Afghanistan, Albania, Andorra, Antigua and Barbuda, Argentina, Armenia, Azerbaijan, Belize, Benin, Cambodia, Chile, Colombia, Costa Rica, Côte d'Ivoire, Dominican Republic, Egypt, El Salvador, Gabon, Ghana, Georgia, Guinea-Bissau, Honduras, India, Indonesia, Jordan, Laos Peoples Republic, Lesotho, Liberia, Malaysia, Mauritania, Mauritius, Mexico, Mongolia, Montenegro, Morocco, Namibia, Nigeria, North Macedonia, Oman, Panama, Paraguay, Papua New Guinea, Peru, Republic of Moldova, Rwanda, Saint Lucia, Serbia, Singapore, South Africa, Tajikistan, Thailand, Togo, Trinidad and Tobago, Tunisia, Uruguay, Uganda, Uzbekistan, Viet Nam, and Zambia<br> Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.<br>See the complete list of notes on GHG data by UNFCCC here: https://unfccc.int/process-and-meetings/transparency-and-reporting/greenhouse-gas-data/notes-on-ghg-data."
historical_emissions_unfccc,Geographic Coverage: global; quasi-global; select regions/countries,Global
historical_emissions_unfccc,Date of Content: List all years; for multiple years (2001 - 2014),1990-2019
historical_emissions_unfccc,Frequency of Updates: annual; every x years/months/days; no updates planned,Bi-annually
historical_emissions_unfccc,Summary of License,"Public domain, may be freely downloaded, copied and printed provided no change to the content is introduced, and the source is acknowledged."
historical_emissions_unfccc,Link to License or Terms of Service,http://unfccc.int/home/items/2783.php
historical_emissions_unfccc,Citation,UNFCCC. 2022. Greenhouse Gas Inventory Data. Accessed May 2022. https://di.unfccc.int.
historical_emissions_unfccc,Published Language,English
