area,Source,short names,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
DOM,FAOSTAT_98,total_pesticides_use,4971,4971,4971,4971,4971,3449,3493,3846,4375,5401,5082,7182,4018.07,854.14,3713.96,3515.56,4116.45,5689.8,5409.43,5975.25,6316.61,6384.22,6451.83,6519.43,6587.04,5028.43,5874.45,6815.45,7069.45,7069.45,7069.45,2565.86
DZA,FAOSTAT_99,total_fertilizers,127000,91500,96800,130900,119300,46400,38000,97000,108000,93000,92300,105300,72765,45031,188038,55806,99072,111748,64231,107000,118500,118300,160100,168300,190500,175600,155700,155700,155700,155700,155700,155700
DZA,FAOSTAT_100,total_pesticides_use,5743.46,7094.39,3876.18,3710,4058.62,6255.63,2190.88,1822.16,1498.96,2228.17,2537.4,2846.64,3155.87,3465.11,3774.35,2810.61,2504.01,3562.52,5720.11,3168.41,1869.58,7612.21,8980.17,8269.57,7151.52,4516.93,4153.38,6067.35,6067.35,6067.35,6067.35,6067.35
ECU,FAOSTAT_101,total_fertilizers,68021,82600,97800,94000,93000,101000,118000,162600,161711,175500,164400,349651,227966,203712,277785,195475,256205,237932,264652,224622,299057,318228,292420.11,281988.16,333695.96,272139.84,337154.54,382195.77,415077.1,376674.19,376674.19,376674.19
ECU,FAOSTAT_102,total_pesticides_use,2537,2377,2012,1844,2670,2658,2407,7612,21500,14216,17948,7344,1302.49,30634.53,29799.84,18391.23,7953.42,14156.16,15396.14,9666.87,31637.12,17529.44,11469.74,6471.77,33573.94,44564.66,39239.6,37808,37408.2,34081.3,15729.1,19050.09
EGY,FAOSTAT_103,total_fertilizers,958946,963400,877442,988138,843236,1126400,1157500,1078743,1171128,1179500,1259731,1308348,1334000,1388100,1604900,1538000,1528000,1341400,1374500,1393200,1360000,1414000,1309800,1453500,1444100,1632000,1583000,1672000,1632100,1624700,1669500,1669500
EGY,FAOSTAT_104,total_pesticides_use,13214,8255,6156,4175,4283,4391,4499,4607,4715,4823,4931,5039,5147,5255,5363,5471,9781,9105,9527,9013,11590,12945,13991,13653,11363,8043.71,11523.61,8107.45,11352.49,13024,7536.68,5709.89
ERI,FAOSTAT_105,total_fertilizers,,,,700,1300,1614,4993,6000,6500,10900,10900,5468,3505,828,3,1436,11,2338,,1920,288,567,678.69,820.37,1006.1,1014.72,1923.24,1774.36,4691.81,4130.78,3490.23,2071.38
ERI,FAOSTAT_106,total_pesticides_use,,,,4.44,4.44,4.44,4.44,30.92,19.61,22.28,24.96,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63
ESP,FAOSTAT_107,total_fertilizers,1975901,1881742,1574798,1817690,1927400,1868700,2192100,2107900,2367000,2319963,2149400,2195800,2122908,2281502,2154369,1835448,1810431,1985092,1330529,1211296,1637100,1524000,1540841,1749149,1858350,1860169,1776136,1905402,1874129,1860154.94,1860154.94,1860154.94
ESP,FAOSTAT_108,total_pesticides_use,39562,39147,31839,29408,31244,27852,33236,34023,35070,33614,34597,35700,40727,41586,47445,41017,39767,39286,40719,35199,39043,53549,63490.52,71454.16,78818.31,77216.75,76940.64,71987.32,75014.23,75190.44,67098.9,76173.55
EST,FAOSTAT_109,total_fertilizers,,,112710,64950,41683,28000,22172,27805,32397,27290,35025,29709,27007,39049,43782,36071,42298,45470,59997,41398,44111,45228,50304,52543,55813,55804,55188,59708,60369,62289,65777,72446
EST,FAOSTAT_110,total_pesticides_use,,,469,170,176,154,133,200,195,187,315,329,331,323,351,386,452,460,551,402,514,460,553,567,597,594,712,673.97,636.08,776.62,610.5,885.92
ETH,FAOSTAT_111,total_fertilizers,,,,75900,116100,134300,177549,131732,164062,167877,157480,134913,167624,62315,127464,139803,149111,225168,234026,246354,318203,316308,469378.11,282487.41,395507.3,441957.46,535409.54,551170.33,420088.31,516693.92,645943.56,686373.68
ETH,FAOSTAT_112,total_pesticides_use,,,,242,242,242,383,383,383,492.5,602,630,822.67,1015.35,1208.03,1400.7,2603.1,2593.9,2270.6,3699.2,4128.1,4128.1,4128.1,4128.1,4128.1,4128.1,4128.1,4128.1,4128.1,4128.1,4128.1,4128.1
EUU,FAOSTAT_113,total_fertilizers,21414509.14,18684413.14,17601067.74,17979190.74,18509790.74,18347848.02,19179203.05,18885434.22,18755016,18477339,17106388.71,16749090.48,16585924.96,17315313.59,16737209.57,16042459.09,15778954.64,17027497.49,13816243.4,12372204.14,14394209.23,13951403.3,14409465.85,15028461.32,15220744.96,15501013.94,15470514.82,15968337.41,15515264.01,15358316.12,15459832.48,14918732.15
EUU,FAOSTAT_114,total_pesticides_use,373053.18,355011.54,323644.99,351099.73,337065.44,336665.3,340940.93,362227.93,367513.98,359908.76,346096.63,341307.15,358582.71,339726.22,349019.8,356589.17,334811.87,351034.76,356596.12,313098.11,315314.73,341963.61,347531.36,344727.83,373107.04,366379.41,370010.9,358884.27,362766.57,329560.88,343723.05,354082.26
FIN,FAOSTAT_115,total_fertilizers,442650,339050,345040,340745,355105,340790,313000,314000,309000,310000,299000,297000,285403,280276,280154,271464,257556,240957,216735,173377,226691,193962,193962,194280.61,206893.56,200022.94,193521.79,200745.36,205594,213904.99,208132.11,220003
FIN,FAOSTAT_116,total_pesticides_use,4254.58,3756.54,4054.17,4103.38,3970.65,2368.26,2485.12,3128.15,4053.56,4180.64,3608.08,4077.46,4731.01,4735.83,4765.83,4956.24,5254.09,4064.95,3806.2,4804.83,3806.97,4043.94,4283.01,4475.97,4436.73,4919.12,4376.75,4243,4817,3980,4914,4032.4
FJI,FAOSTAT_117,total_fertilizers,23000,14000,13100,14900,18000,18000,19000,19200,18400,14400,7500,10000,12152,3273,7699,6660,4271,4046,6950,3655,2698,5855,4773.16,5598.38,5842.38,8794.2,7595.47,8616.66,6303.63,6153.13,7504.87,5849.9
FJI,FAOSTAT_118,total_pesticides_use,152.96,703.55,139.76,164.94,190.13,215.32,240.5,265.69,290.87,316.06,341.25,366.43,391.62,416.81,441.99,467.18,492.36,517.55,542.74,709.7,689.97,710.1,805.54,769.07,1013.12,515.81,813.85,721.33,1233.15,618.92,760.22,909.39
FRA,FAOSTAT_119,total_fertilizers,5682800,5565000,4530000,4604000,4712200,4914200,5064000,4988800,4837000,4753400,4144800,4178000,3881600,4099800,3896000,3537000,3491426,3828000,2785000,2201030,2754950,2582160,2939447,3101304,3087784,3148788,2994568,3279730,3099085,2829983,3112894,2753165
FRA,FAOSTAT_120,total_pesticides_use,97701,103434,85249,91953,89515,84011,97890,109792,107753,114695,97878,99694,82448,74531,76099,78265,71612,77255,78577,63676,61903,61351.89,63844.29,66676.69,75339.2,66896.92,72064.82,70603.5,85072.22,54366.97,64858.85,69602.42
FSM,FAOSTAT_121,total_fertilizers,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.19,0,0,0,2.28,1.52,0.93
FSM,FAOSTAT_122,total_pesticides_use,,19.74,19.74,19.74,19.74,19.74,19.74,19.74,19.74,19.74,19.74,19.74,19.74,18.82,17.32,16.58,15.66,15.54,13.14,11.92,11.31,13.24,13.81,13.55,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27
GAB,FAOSTAT_123,total_fertilizers,1121,600,500,400,400,400,200,200,433,300,300,300,1813,1174,1660,2712,2749,2944,3418,3907,1027,1836,3278.66,3295.9,4250.66,8886.03,10344.3,19701.85,14348.75,12955.26,6913.63,9181.35
GAB,FAOSTAT_124,total_pesticides_use,195.58,206.88,234.73,282.61,328.92,368.44,398.61,416.16,390.75,368.51,349.48,330,263.88,252.29,366.74,511.41,592.43,559.68,522.02,493.15,485.69,485.69,485.69,485.69,485.69,485.69,485.69,485.69,485.69,485.69,485.69,485.69
GBR,FAOSTAT_125,total_fertilizers,2388000,2171000,2003000,2075000,2219000,2191000,2376000,2270000,2081000,1996000,1764000,1870000,1871000,1788000,1778000,1672000,1563000,1549000,1541000,1285000,1451000,1497000,1447000,1460000,1545000,1517000,1493000,1512000,1483000,1491000,1394000,1448000
GBR,FAOSTAT_126,total_pesticides_use,29517,29022,31077,32387,33929,33743,35579,35490,35422,35537,33031.28,32893.1,30995.26,30754.4,31223.91,31415.27,22588.09,22331.7,21596.68,21324.22,16770.87,16401.66,17718.64,17673.46,18392.45,18475.05,19298,19116,19300,19372.58,14923.34,14728.86
GEO,FAOSTAT_127,total_fertilizers,,,72000,53900,31000,31000,32200,36500,34000,40000,42000,28000,26400,11524,14223,25045,21958,19140,18429.47,20932,18520.63,17558.39,21488.98,30515.16,25069.34,23704.45,25841.2,21247.01,21394.23,21050.01,55241.09,
GEO,FAOSTAT_128,total_pesticides_use,,,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,1350.98,1481.03,1738.19,2237.26,2565.94,2863.3,2500.7
GHA,FAOSTAT_129,total_fertilizers,13000,8000,10100,7568,7700,9700,17400,21316,15184,15406,11886,31027,15660,28621,52802,23995,84251,76368,65473,87306,86395,62448,163361,118718,73800,111600,100700,174600,127100,187100,236022.15,175979.93
GHA,FAOSTAT_130,total_pesticides_use,65.8,65.8,65.8,65.8,65.8,65.8,1575.5,502,297.78,114.13,81.63,82,92.68,110.14,127.6,173.76,778.04,129.93,359.46,386.16,1389.23,2392.29,3395.36,4398.42,5401.49,8884.39,9286.94,9689.5,9689.5,9689.5,9689.5,9689.5
GIN,FAOSTAT_131,total_fertilizers,1161,1938,506,1575,4000,5106,4249,1796,3284,3200,3200,3200,2400,1965,2627,2521,2430,3398,3698,1807,2705,10391,8795.5,8891.01,3171.57,2829.76,2349,26387.89,21257.77,21257.77,21257.77,21257.77
GIN,FAOSTAT_132,total_pesticides_use,80,80,80,21,39,153,157,157.11,181.46,205.8,230.15,254.49,278.84,303.19,327.53,351.88,376.22,400.57,424.91,449.26,556.24,663.23,770.21,877.19,400.65,282.3,163.96,206.3,108.5,110.5,110.5,110.5
GMB,FAOSTAT_133,total_fertilizers,600,900,800,800,800,944,805,1100,2500,1200,800,800,,2821,2508,3171,3172,2720,1585,2715,3285,4624,1162.04,181.78,204.82,238.01,299.69,172.21,3542.81,1856.63,343.26,984.01
GMB,FAOSTAT_134,total_pesticides_use,112.01,112.01,112.01,112.01,159.69,190.34,229.87,233.93,229.83,238.86,222.82,238.05,261.92,388.07,597.61,865.96,797.45,671.85,390.23,287.89,260.18,262.41,374.39,355.48,366.71,344.29,407.89,441.88,541.66,500.99,418.1,300.61
GNB,FAOSTAT_135,total_fertilizers,586,544,236,300,300,300,300,300,600,600,2400,2400,2703.19,2958.8,2851.4,3084.6,4028,2522.8,2830.2,2999.8,4966.5,3162.5,4438.5,4631,4680.5,4779.5,6308.5,8189.5,7854,8541.5,9515,9515
GNB,FAOSTAT_136,total_pesticides_use,32,38,4,25,21,17,13,9,5,1,41.5,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
GNQ,FAOSTAT_137,total_fertilizers,,,,,,,,,,,,,636.54,552.84,810.02,552,673.15,630.76,690.37,618.41,759.4,941.41,772.97,795.72,818.37,989.18,816.5,1057.52,896.63,892.7,974.92,974.92
GNQ,FAOSTAT_138,total_pesticides_use,3.13,3.04,2.87,19.27,52.25,59.45,50.5,24.7,24.41,23.41,17.18,11.85,9.29,18.55,30.51,60.84,128.4,155.89,163.39,169.79,180.18,204.36,185.02,176.77,156.57,108.83,85.9,62.43,72.59,78.22,80.26,78.07
GRC,FAOSTAT_139,total_fertilizers,696000,652100,628000,509000,527000,505000,560000,504000,472000,469000,456000,431000,418719.3,414011.2,411843.6,366092.2,344508.4,358632.7,302173.2,277010.18,323924.31,280801.51,277445,294253,273691,256770,268902,278471,288586.12,301175.69,319715.11,319715.11
GRC,FAOSTAT_140,total_pesticides_use,7420,7420,7869,8826,6341,6663,7296,9223,10702,9635,10627,10725,12753.66,12356.32,13144.98,13958.64,7505.3,7345.7,5130.8,3404.4,5607.7,8189.8,8002.2,8081.72,9504.13,9018.87,9200,8503,4869.36,4890.64,4946.23,4766.65
GRD,FAOSTAT_141,total_fertilizers,,,,,,,,,,,,,458.52,231.11,,,203.82,,227.34,144.62,298.13,,302.75,315.63,380.17,371.07,349.44,346.22,364.84,373.03,363.93,193.89
GRD,FAOSTAT_142,total_pesticides_use,143.75,138.6,128.3,120.19,131.66,138.51,131.62,109.31,91.83,95.76,98.24,94.48,87.33,81.84,99.58,113.89,121.46,215.63,218.37,212.29,102.94,80.9,70.84,82.67,96.02,116.64,114.63,119.27,115.22,115.59,110.13,109.82
GTM,FAOSTAT_143,total_fertilizers,117000,143200,157900,172000,169000,186000,183000,209345,172600,196500,211600,204896,142201,177660,199914,198367,204882,195067,121907,160175,226238,252543,285068,285460.46,278237.34,293393.54,261318.04,310172.28,321411.6,272151.14,368443.23,340869.3
GTM,FAOSTAT_144,total_pesticides_use,12004.33,12004.33,12004.33,12004.33,12004.33,12004.33,12004.33,11427.48,10850.64,10273.79,9696.94,10044.62,10392.31,10739.99,11959.92,13506.02,15951.27,22883.17,18091.67,13276.7,14898.25,16540.71,19726.3,20489.4,11438.92,10040.41,11444.49,11302.12,11841.7,11001.99,14242.06,13227.52
GUY,FAOSTAT_145,total_fertilizers,12000,15600,12200,12000,11100,15000,13300,15674,14900,18934,12584,13000,14900,10375,20175,9281,13684,13715,23855,8507,16514,11694,18288.2,25857.48,22322.71,25617.46,18733.7,11740.77,25981.45,26109.78,22149.51,25573.15
GUY,FAOSTAT_146,total_pesticides_use,6.57,49.9,71,104.39,106.73,143.57,180.42,241.71,422.12,495.26,673.85,820.8,2669.82,2492.45,2242.76,376.07,476.69,464.64,463.76,391.73,449.34,502.36,2282,2590.81,2635.9,875.28,557.97,532.23,575.9,704.5,910.43,1063.17
HND,FAOSTAT_147,total_fertilizers,14994,35601,40668,55000,29500,88900,82600,143739,139893,163800,180500,151500,44401.31,58695.4,38421.1,63654.28,103364.1,94681.88,79011.85,63341.8,87198.23,133857.6,109853.55,126195.86,142538.16,134281.92,167273.06,187832.5,209110.46,160284.49,242664.31,194559.7
HND,FAOSTAT_148,total_pesticides_use,4576.61,3368.28,5965.38,6768,5455.36,7800,6464,6980,3495,2387,4376,1141,1772.3,2403.6,3034.91,3666.21,4297.51,5283.93,5130.42,4344.36,5736.63,6324.41,7194.91,7282.38,7604.05,8113.5,7529.13,8153.23,8782.61,8214.39,11721.5,10533.17
HRV,FAOSTAT_149,total_fertilizers,,,183522,138500,193000,181000,202300,275852,176388,194200,223000,175600,220496,252981,264759,257106,335474,349374,426243,142991,268887,278884,173474,140934,156197,153373,104038,174469,177680,174271,177556,178324
HRV,FAOSTAT_150,total_pesticides_use,,,2304,2675.33,3046.67,3418,3148,3041.63,2935.27,2828.9,2722.53,2616.17,2509.8,2403.44,2297.07,2183.95,2213.84,2079.22,2452.6,2134.99,1605.37,1682.32,1759.27,1836.21,2109.17,2301.08,1854,1570,1677,1558,1644,1463
HTI,FAOSTAT_151,total_fertilizers,1000,2900,4300,4100,5100,7400,7000,12570,10928,8716,14429,13924,7746.81,10989.39,,,7458.28,,7838.38,10111.34,15256.09,,178245.44,12565.18,22420.42,9493.29,4390.2,14565.49,12971.03,52856.35,11363.81,7464.11
HTI,FAOSTAT_152,total_pesticides_use,181.28,157.55,99.76,95.44,135.92,178.6,251.23,267.95,396.42,359.33,371.91,310.12,392.05,457.46,454.97,434.67,476.29,518.09,748.67,733.65,1037.44,881.9,865.92,506.84,393.19,386.78,465.09,620.65,646.12,695.93,774.62,859.61
HUN,FAOSTAT_153,total_fertilizers,679944,326129,189000,292600,313723,368145,454927,427088,370600,432600,417024,453751,437000,439000,453000,392000,456000,507000,443373,355256,370396,410002,438009,490119,487125,493574,597322,658733,652314,630220,654690,669848
HUN,FAOSTAT_154,total_pesticides_use,12756,8069,5777,10197,9574,7715,6946,4445,5280,4598,4151,5458,8231.5,8725.5,9940.5,9676,11523,11178,12084,11144,10299.5,8473.26,8141.23,7767.34,9003.86,9483.76,9763.86,9756.22,8535.05,7814.98,8679.09,8858.11
IDN,FAOSTAT_155,total_fertilizers,2500800,2400100,2583000,2317000,2467000,2529200,2715900,2227600,2727700,2524500,2493500,2638308,2489222,2938147,3236411,3303912,3397346,3992059,4188796,4286696,4283793,4662837,5790356.61,5420295.42,5963612.77,6092499.97,5932582.4,6674699.17,6929245.72,5895970.18,6527680.35,7343556.77
IDN,FAOSTAT_156,total_pesticides_use,113120.57,115478.86,124362.22,126756.03,127382.89,137901.08,141286.54,135253.98,136116.04,137639.96,142709.22,146060.61,154432.41,164929.32,173325.51,178526.94,185738.21,221902.86,258851.67,260714.84,313639.25,206061.7,254912.71,314990.4,253450.88,313069.12,349797.63,279005.69,261305.81,274421.03,213036.33,283297.13
IND,FAOSTAT_157,total_fertilizers,12018000,12728085,12154409,12385271,13563669,13876235,14338041,16187986,16797504,18056730,16702300,17344311,16095991,16807212,18406670,20347381,21642119,22571108,24228437,26445526,28110244,28373686,25536100,24482500,25581400,26752600,25949100,26590900,27375200,28969600,32535600,29846300
IND,FAOSTAT_158,total_pesticides_use,75000,72133,70791,66388,61357,61257,56114,52279,49157,46195,44957.52,43720.04,42482.56,41245.08,35113,35342,37423,27422.77,14485.33,28707.01,40093.69,55540,52980,45620,56267.67,56720.12,58634.43,63405.78,59669.93,61701.9,61701.9,61701.9
IRL,FAOSTAT_159,total_fertilizers,692300,665000,668000,716000,752000,748000,682000,660000,712000,692000,599410,589717,597851,630920,562050,542316,497954,453173,416298,519860,467528,457170,549587,526343,576054.1,585620.64,593293.96,646743.48,709415.49,662008.37,694127.36,713772.36
IRL,FAOSTAT_160,total_pesticides_use,2014,2014,2014,2014,2014,2152,1577,2201,2257,1930,1942.21,2333.67,2614.27,2719.41,2978.49,2624.89,2766.64,3083.02,2790.17,2268.1,2529.2,3713.76,2801.78,2935.81,3392.34,3503.61,3112.53,2942.02,2651.36,2971.77,2909.82,3090.94
IRN,FAOSTAT_161,total_fertilizers,1161000,1149000,1349960,901100,1004000,1017200,1079325,1207202,1268000,1330400,1393563,1325619,1408887.35,1513354.04,1611800.62,1711115.31,2117363.11,1648513.6,1680402.53,1407057.95,1388930.03,734923.24,786635.66,834352.74,1075279.67,697295.7,698154.45,784408.06,902796.8,987896.02,1072075.87,1072075.87
IRN,FAOSTAT_162,total_pesticides_use,10644,16349,11683,9572,10324,8746,5332,6347.87,7363.74,8379.61,9395.48,9007.8,9592.16,10129.47,10015.31,7807.64,8253.48,5922.88,3016.89,4049.54,4381.59,4713.64,7051.91,6494.24,6609.9,6725.57,6841.23,6871.73,5744.42,4977.43,5855.93,5855.93
IRQ,FAOSTAT_163,total_fertilizers,207000,134700,210000,348000,384000,333900,354400,356800,383300,388100,371200,639200,634600,114700,111132,218787,223420,187360,228760,219717,137160,168120,213403.18,231038.74,97910.34,77346.05,143905.87,251613.61,274173.44,274173.44,274173.44,274173.44
IRQ,FAOSTAT_164,total_pesticides_use,692,692,692,692,692,816,616,848,755,508,548,837.47,878.68,853.65,828.62,873.01,824.14,1062.61,956.52,850.42,744.33,638.24,532.15,426.05,396,196.75,151.46,214.79,283.99,283.99,283.99,283.99
ISL,FAOSTAT_165,total_fertilizers,23163,22918,20024,23000,20098,19562,18892,19300,18700,21900,21200,18180,18802,15852,17792,17229,21649,24271,24985,15357,18290,19450,21390,20459,24450,17878,21965,17909,16490,14240,15742,16924
ISL,FAOSTAT_166,total_pesticides_use,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,4.18,4.74,4,4,6,5,5,5.34,5.73,4.37,2.73,3.43,3.14,2.41,3.88,4.08,3,2,2,0.98,0.69,1.35
ISR,FAOSTAT_167,total_fertilizers,102600,93600,97800,98000,104000,104000,119000,120000,121000,89000,94000,89400,87900,94500,99800,91000,92400,105500,84100,61000,60600,74400,82200,84600,79400,72400,82800,88951.61,92300,87497.98,90877,100048
ISR,FAOSTAT_168,total_pesticides_use,2491,2491,2491,2491,2491,2491,2491,2491,2491,2975.02,3459.04,3943.05,4427.07,4911.09,5395.11,5879.13,6363.14,6847.16,7331.18,6650,6753,6124,6009,6005,6335,6367,6093,6881,7322,6983,6983,6983
ITA,FAOSTAT_169,total_fertilizers,1944380,1986690,1922000,1903900,1892200,1822000,1865000,1758000,1748000,1784000,1732000,1405913,1418087,1414334,1447535,1336239,1305785,1364139,1075785,838499,864377,902647,872000,882755,851523,885372,880660,878647,872894,885051,930764.74,958218.41
ITA,FAOSTAT_170,total_pesticides_use,100596.4,88916.6,88227.6,89282.2,81217.6,84153,74617.2,84799,84117,81583,79447,75978,94211,86058,83810,84647,74349,80454,79643,74172,71613,70690,61889,55633,59422,63322,60259,56641,54153,48567,56556,50345
JAM,FAOSTAT_171,total_fertilizers,19100,25700,21300,23400,23200,26518,23800,23397,23445,23043,22400,20855,12781,15146,16485,14828,8130,4527,4517,6983,7515,8541,10485,9977.51,13834.29,4539.64,6869.56,7954.3,12295.01,9311.29,7834.25,7834.25
JAM,FAOSTAT_172,total_pesticides_use,1217.44,1217.44,1217.44,1217.44,1217.44,1258.99,1316.11,620.7,1094.84,1332.92,1379.22,1491.75,1372.63,1440.51,1355.12,1373.23,1243.58,1288.62,1286.84,1252.09,1034.18,1108.54,1278.96,1218.48,1138.79,1051.14,1409.14,1560.62,1761.15,1500.4,1853.15,1641.61
JOR,FAOSTAT_173,total_fertilizers,16800,20409,15700,16300,14000,16000,19150,24021,23431,23024,20623,22000,30100,30900,9700,16700,10600,13000,15300,21200,23200,23200,23500,30261,21985,40322,26653,25032,22923,24125,17466,27668
JOR,FAOSTAT_174,total_pesticides_use,734,926,1365,786,773.5,761,910,875,845,525,553,1527.54,1567.91,1320.91,737.06,1736.49,1142.43,1351.11,1265.7,1089.5,932.8,1111.9,708,1010,719,666,1028,1291.4,675,1862,1176,1257
JPN,FAOSTAT_175,total_fertilizers,1838000,1752000,1784000,1817100,1763500,1641100,1563000,1509700,1418600,1438700,1452300,1354000,1294207.37,1327273.79,1292187.72,1293968.42,1278536.4,1415217.81,1016099.07,895270.35,1092297.39,1062818.92,1073496.41,1036800,1069000,947500,987500,1012100,977500,934100,886500,886500
JPN,FAOSTAT_176,total_pesticides_use,79821.18,79821.18,79821.18,79821.18,79821.18,79821.18,79821.18,79821.18,79821.18,79821.18,79821.18,78735.45,70262.54,67869.72,64688.88,63829.77,65248.26,61164.07,58750,60970.8,55576,51796.3,54716.4,52794.3,53543.7,54171.16,51006,52248,52332,51970,48889,48889
KAZ,FAOSTAT_177,total_fertilizers,,,475000,324000,121000,95000,131000,56100,13000,34200,37000,50400,23700,33740,42100,40800,41400,58900,30900,56400,58688,87412,129657,84909,116487,127150,113833.63,158207.68,120589.87,85708.02,164750,131900
KAZ,FAOSTAT_178,total_pesticides_use,,,17182,17182,17182,13535,13047,8112,6416.14,4720.28,3024.42,3007.26,3361.84,3606.55,3802.92,3666.62,3926.27,5575.89,7044.9,8716.14,6283.85,10656.6,8674.58,8738.38,11158.77,10588.9,10372.1,13811.1,13058,13102.4,14492.01,18323.6
KEN,FAOSTAT_179,total_fertilizers,106700,112700,101900,100000,129800,78400,160800,134400,127100,148100,145705,149990,139051,170316,145546,180695,176052,192895,176424,187236.79,180358.87,229620.78,278882.69,328144.6,276838.41,225532.22,280616.77,365890.35,279114.16,332267.91,381727,351840
KEN,FAOSTAT_180,total_pesticides_use,443.57,998.22,1353.74,1432.44,3627.88,3728.01,3964.68,1801.24,2052.83,2124,1979.44,1841.4,1665.4,1716.15,1802,2085.05,2192.58,1918.86,2157.53,2181.52,2757.77,3143.67,3970.66,4476.33,4660.68,4764.24,4773.06,5293.41,6073.6,6587.2,6227.91,5617.42
KGZ,FAOSTAT_181,total_fertilizers,,,32000,28000,28000,28000,31000,31000,29078,28071,29199,27618,9483,33211,28924,31623,28494,28742,24277,28159,28918,24457,31042,35075,40980,13322.83,16346.54,9903.63,27344,29185,29155,29155
KGZ,FAOSTAT_182,total_pesticides_use,,,2418,2200.86,1983.72,1766.59,1549.45,1332.31,1115.17,898.04,680.9,609.6,733.2,1302.6,1321.3,1081.1,796,1026.2,662.8,266.8,350.1,312.9,365.1,341.1,402.6,516,533,560,608,677.3,692.6,608
KHM,FAOSTAT_183,total_fertilizers,4100,5700,11000,14600,10600,9800,7800,21900,7620,,,,25667.92,20289.86,25205.45,38693.34,38182.21,37586.1,36516.96,49037.24,58570.66,76246.26,103569.46,94065.62,105371.25,116937.61,84569.72,159147.83,170073.82,173645.77,180963.58,204291.85
KHM,FAOSTAT_184,total_pesticides_use,480.55,480.55,480.55,480.55,480.55,480.55,480.55,480.55,480.55,480.55,444.76,427.68,412.47,420.87,404.51,443.99,532.63,732.64,773.93,938.78,1198.31,1673,2386.97,3287.86,4338.92,5091.41,4594.58,5330.56,7719.69,11862.52,15399.46,16736.35
KIR,FAOSTAT_185,total_fertilizers,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.34,0,0,0,4.08,2.72,0
KIR,FAOSTAT_186,total_pesticides_use,2.6,2.59,2.66,2.86,9.69,10.3,10.77,4.31,3.77,3.8,4.06,4.46,4.86,5.26,6.88,7.12,8.34,7.78,8.55,9.7,9.77,10.32,10.65,15.73,20.45,23.72,21.53,18.98,20.58,26.36,34.26,37.22
KNA,FAOSTAT_187,total_fertilizers,882,1100,1100,1100,1590,1327,1327,1700,1700,1700,1700,1700,55,55,55,55,90,50,82,51,51,52,52,0.03,115.24,25.86,37.55,26.17,25.98,25.98,25.98,25.98
KNA,FAOSTAT_188,total_pesticides_use,92.44,92.44,92.44,94.22,99.69,106.91,104.39,100.91,98.37,97.99,200.36,289.41,467.76,363.86,266.48,100.94,96.39,103.93,90.33,99.26,90.2,87.42,96.02,98.89,109.77,115.37,120.63,117.44,101.42,101.42,101.42,101.42
KOR,FAOSTAT_189,total_fertilizers,957702,927700,963700,973700,960000,979029,908907,992000,867000,821085,783337,716603,699681.65,708470.37,749133.14,785603.77,540323.95,648781.24,476511.63,520105.65,497735.13,501930.49,535549.04,515596.09,510582.24,494726.83,498971.72,493621.75,504709.95,499948.36,412104,378025
KOR,FAOSTAT_190,total_pesticides_use,25082,27476,26718,25999,26970.5,25845,24620,24819,22103,25837,25684,28218,25844,24610,25323,24506,24076,24262,25368,22790,20431,19131,17438,18708,19788,19482,19798,20043,18716,16745,17132,19014
KWT,FAOSTAT_191,total_fertilizers,,,800,1000,1000,1000,2000,1200,1000,1100,629,1046,1000,1000,1000,1000,3488.16,3326.44,6028.93,1000,2283.96,4636.3,4686.08,5735.87,7382.93,9274.79,8405.79,9869.5,8977.73,7575.69,9665.15,9665.15
KWT,FAOSTAT_192,total_pesticides_use,196.66,278.54,338.59,499.93,826.28,1117.29,1209.28,1029.17,929.84,778.47,689.76,813,1115.14,1272.67,1201.17,1137.37,1276.41,1358.89,1305.44,1126.94,1222.75,1536.94,1969.43,2262.97,2384.53,2034.18,1449.71,1030.47,1110,1341.3,1493.35,1512.95
LAO,FAOSTAT_193,total_fertilizers,1500,2552,3386,3000,1794,6189,3800,7761,4564,9903,6004,12283,10894.25,3767.58,6634.07,8586.26,8758.79,10325.5,9458.77,15419.53,16098.35,25674,43065.26,37594.14,51074.64,50844.02,42389,42389.3,53605.15,69224,65099,62291.72
