Area,short names,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
EST,trade_export_2,,,,974,126,60,,3230,400,5862,6439,3294,16499,13782,4690,34167,25964,27362,115142,91743,124301,70214,251253,226394,259296.5,465992.2,352755.6,533772.5,197563.82,581578.35,709970.98,433870.28,575112.63
EST,trade_export_3,,,,,12,,,,13,12,1,0,0,0,0,0,10,77,135,161,183,2212,2739,1568,671.2,260,1010,180.42,101.95,103.83,743.96,4.89,5.02
EST,trade_export_4,,,6457,,,2460,2,4,1723,15,4,0,0,364,0,1,2,325,646,221,5,23,4435,2180,891.2,169,68.71,459.65,624.63,61.63,122.43,111.69,63.81
EST,trade_export_5,,,0,183,1168,1606,2638,5355,3543,5206,1768,958,2715,781,242,12998,51157,34527,56506,9893,76512,103214,163439,201462,196310.63,146819.01,206176.98,227413.92,216378.81,212808.8,224208.53,223758.48,239654.51
EST,trade_export_6,,,227,514,985,3987,1480,57167,98329,64322,18307,7283,3626,5066,4542,2985,3207,1400,2950,3526,4664,7332,5383,5982,4984.46,5358.93,5705.83,5270.85,6155.64,7018.73,7108.66,7266.18,6176.04
EST,trade_export_7,,,,,,,,,,,,,,,,,,,,1,42,3,2,0,,,,,,,,,
EST,trade_export_8,,,1222,1632,73,166,94,1250,2485,2375,5019,5015,6682,9426,4342,1706,2017,824,1191,474,2611,2257,5180,4043,3112.72,4512.18,4417.22,3574.41,4607.71,6067.83,6432.32,5117.95,7196
EST,trade_import_1,,,,2609,363,319,6590,2342,381,740,518,237,0,94,24,33,41,40,25,21,15,55,32,125,2.72,47.91,104.71,36.18,99.76,6.36,8.18,3.58,34.33
EST,trade_import_2,,,104765,21280,7876,9965,16850,44821,38109,26501,70015,37272,93334,76577,39457,12075,6039,11889,32574,19030,23700,9387,12707,28379,3575.94,40648.83,15499.61,33619.85,19271.22,13260.69,10049.23,10121.6,3607.69
EST,trade_import_3,,,,21,219,899,3158,2250,26,31,26,11,34,40,37,30,579,91,2267,191,196,1985,2777,7198,1309.69,31.38,1374.12,1518.93,205.14,89.9,1332.66,21.65,26.87
EST,trade_import_4,,,96892,90,8804,319,4300,208,8033,262,8217,5775,27170,33127,29748,9682,10374,14095,31529,13427,18033,19250,16975,30152,27464.23,15171.25,22102.23,23116.83,30206.73,25331.2,25984.93,24191.54,37984.07
EST,trade_import_5,,,254,215,22,6272,5117,8855,7835,199,3218,751,76,2144,3096,211,113,1007,1660,2101,1505,20003,4628,12283,6288.64,10598.19,4784.57,26142.88,33571.01,15516.37,14972.97,24050,32078.74
EST,trade_import_6,,,19,1121,4051,8662,11674,73537,114017,73947,32744,22166,19089,17100,10219,10134,10554,12589,12210,13359,15968,15500,14901,14875,14146.24,14801.45,16903.54,14818.48,22010.07,17807.85,17171.96,17493.03,17916.82
EST,trade_import_7,,,,,,,,,,,,,,,,1,1,2,0,0,2,1,0,0,0.01,0,,,,,0.1,0.04,
EST,trade_import_8,,,,,2374,934,4420,3326,2960,5395,6527,3492,2309,3004,2856,2599,4323,3139,4077,4986,5382,5939,9250,9948,8921.81,7835.75,7882.28,7967.47,8835.2,7619.36,8476.82,7592.35,8141.94
ETH,production_Agr_1,,,,1455920,1396230,1989700,3164180,2986500,2344300,2832070,2682940,3298330,2825555,2743880,2906314,3911869,4029630,4156385.95,4342729.16,4656996.35,5481405.9,6441678.21,6700800.7,7105706.19,7729849.74,8211424.38,8846787.38,10488192.84,10119846.66,9635734.5,10022285.88,10751000,10200000
ETH,production_Agr_10,,,,21297.41,21308.26,20135.55,21401.62,20331.42,23665.66,22209.04,20858.08,18060.45,24397.65,26168.21,30592.32,32888.59,36390.98,40389.58,36788.02,36960.3,37754.21,43396.53,44869.14,45747.68,43411.99,43927.97,44360.41,46054.39,50652.69,58462.05,59737.43,55410.65,57811.01
ETH,production_Agr_2,,,,10000,9075.58,11000,9765.55,12000,13000,14000,15000,15412,15412,13000,12000,11244,11244,680.65,1118.8,103128,90412,88619,121042,92363,131821,139780.14,136001,151018.33,171854.1,170630.1,189648.7,200000,208000
ETH,production_Agr_3,,,,2906.85,3043.47,3500,3341.14,3497.37,4000,3832.64,4500,4369.4,5000,600,457,834,3812,5849,8401,7899,15824,35880,63653,61025,72184,89553.77,81235,86467.87,149454.61,125623.2,208676.39,185522,190000
ETH,production_Agr_4,,,,895520,802747,1083680,1162310,1092820,1142710,1149670,1235270,1596020,1444434,1618093,1614441,2176603,2219075,2463064,2314489,3075644,2855682,2916334,3434706,3925174,4231589,4650933.63,4537852,4642965.71,4838074.09,5315270.33,5478708.65,5807800,7000000
ETH,production_Agr_5,,,,238447.99,237802.01,235000,267000,270000,274000,290000,294000,303500,352500,338250,336000,350260,374000,363000,380000,355000,419999.98,410000.01,338150,340750.01,378944.26,387804.82,387928.28,396041.61,399998.05,419722.16,445820.41,414809.57,419868.38
ETH,production_Agr_6,,,,1150,1150,1210,1265,1320,1380,1440,1440,1495,1495,1615,1615,1665,1665,1665,1665,1725,1780,1840,1875,1875,1944.25,1999.19,2038.19,2135.72,2236.29,2176.4,2205.44,2241.83,2278.34
ETH,production_Agr_7,,,,36000,36000,35970,36170,36300,36960,37240,37600,49840,54064,50160,47096,42560,45200,46240,48589,50400,59200,53920,60480,61840,68809.48,73271.89,71930.92,67382.55,71091.56,58324.83,67612.67,48847.93,49355.76
ETH,production_Agr_8,,,,24840,24788,24693,24990,25271,28000,27100,25560,28626,32725,35700,44180,48680,55000,64600,64600,65450,66300,68000,71500,74000,79349.03,84983.72,85789.18,92474.94,109749.32,141931.71,147126.42,127905.29,137674.75
ETH,production_Agr_9,,,,750000,760000,820000,926850,937970,949230,960620,900000,1000000,2478969,2500000,2431149,2138980,2318029,2629521,3221652,2940217,4057998,3329855,3804991,3500000,3339240,3200282.84,3134181,3317786,3284452,3895323,4692994,3866052,4151456.33
ETH,trade_export_1,,,,,,,,,,,,,,,,,0,0,0,0,23,12,0,0,27.27,,1.06,,,,0.01,,
ETH,trade_export_2,,,,,,,,,20,20,1.65,0,94,58,54,195,0,1,35,1,5,1000,70865,4484,5280,2360.34,0.03,,0.01,1.37,0.3,,0.03
ETH,trade_export_3,,,,,,,,,,,,,182,71,13024,2513,1570,1196,2121,462,357,1004,4221,42189,37398.09,34676.88,71779.1,49567.4,50428.19,137310.2,67627.5,59121.38,53705.25
ETH,trade_export_4,,,,,,,,,1701,979,384.88,1327,12848,746,11086,2606,672,17,0,0,35994,60148,3400,8786,1,434.05,,19640,0.21,,10000,11.13,
ETH,trade_export_6,,,,,,,,,,,,,7,2,2,0,1,0,0,0,0,0,0,0,0,,,,,,,,
ETH,trade_export_7,,,,,69,243,243,1490,2302,1818,1149.13,222,879,2094,2699,6330,5193,3040,5883,4963,7949,12306,11565,11993,14203.7,16375.77,15782.91,15233.43,15213.82,12741.32,10889.32,15463.72,13399.47
ETH,trade_export_8,,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,,,,,,,,,
ETH,trade_import_1,,,,,5,167,0,0,178,0,120,120,0,42,104,288,5524,2871,291,2814,1969,24286,4212,17751,19097.98,3155.53,3310.34,2745.77,1223.08,288.45,9568.37,1635.86,770.31
ETH,trade_import_2,,,,358100,553583,509500,295000,187200,463000,550000,1164000,1031000,657000,1603103,575020,862146,526206,600238,1100050,1735594,1698234,1654282,1639039,1618381.9,1041261.15,1259358.46,2482652.61,1076877.04,1141066.78,1361283.99,1054865.9,1836360.63,1394605.55
ETH,trade_import_3,,,,,,,,,0,0,473.73,2465,0,0,597,2953,7523,118,574,6570,512,1406,364,265,124.78,1027.74,0.64,3.89,2.65,9.53,9.42,3.37,2.64
ETH,trade_import_4,,,,21000,36300,24500,20500,26800,30000,35000,18300,23500,3189,11582,11347,30436,60271,31912,36050,54466,29222,7625,42067,18424.1,4313.28,4273.54,5078.77,38195.05,12117.54,79767.8,81557.91,4648.33,6744.01
ETH,trade_import_5,,,,10,0,0,0,0,15,37,7,0,80,2,4,12,6,8,73,65,81,80,103,119,223.2,167.89,188.99,215.85,226.97,114.35,82.58,141.78,282.51
ETH,trade_import_6,,,,100,0,0,0,0,0,0,0.92,0,0,0,0,1,1,1,2,0,0,1,1,130,39.33,113,65.63,177.49,160.51,154.04,205.11,356.94,223.34
ETH,trade_import_7,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,,,1.02,,,0.01,
ETH,trade_import_8,,,,,,0,0,0,3,4,3.31,3.31,1,27,3,1,0,1,3,1,2,4,2,37,4.55,0.52,7.76,2.66,2.57,3.36,3.97,3.59,2.58
EUU,production_Agr_1,37063391,50279094.1,46055922.15,47648287.26,47729696.5,49556148.4,55397126.28,64461270.39,55702070.64,61468795.73,52757948.97,63281265.18,62357087.83,54024458.05,73848833,65392054.42,58332600.35,51387636.88,66282308.86,60592636.24,59828897.11,70700754.87,59608424.76,67013861.26,77575369.11,59264768.07,62960158.61,65146980.44,69004810,70099300,67305300,73015220,52970670
EUU,production_Agr_10,1725329,1526296.47,1609178.8,1654271.39,1686589.04,1684514.11,1783971.9,1839908.43,1857431.52,1858017.43,1883403.92,1847802.42,1903800,1931513.43,1964127.7,1921347.1,2025441.1,2019075.9,2008856.88,2047676.56,2063845.6,2057579.43,1990851.5,1947165.03,1950283.69,1956503.37,1985631.47,2059950.25,2347520,2454470,2520630,2497860,2490260
EUU,production_Agr_2,2369446,2264663,2236081.5,2037851.91,2253098.45,2156158,2711356.33,2755965.99,2678005.4,2722871.35,2487019.65,2575901,2635004.2,2709424.24,2888461.26,2674144.78,2612330,2780381.6,2599145.85,3175591.44,3067725.95,3117759.91,3159888.72,2921913.32,2834622.03,3021546.3,3068989.31,3075081,2840880,2857880,2844600,2642690,2113550
EUU,production_Agr_3,2291517,1881250.3,1502698.2,1041018.3,1243218.6,1205667.9,1278141.9,1655664.9,1911168.9,1581824.5,1319880.15,1468896.7,1190785.9,967199.3,1181481.1,1308380.65,1385336.25,853787.28,758551.9,958027.5,1223610.02,1243208.22,962043.25,1224251.34,1859125.94,2363657.01,2481298,2675102.29,2912120,2813260,2681830,2712900,2506290
EUU,production_Agr_4,102768454,104909654.4,93199258.5,98562829.96,102234899.9,105659357.8,108976284.2,112212200.1,119668527.9,108718311.2,116531303.1,115700807.2,118478274.6,97892463.02,134721123.7,121141713.4,112792557.4,107849383.9,134107918.6,125718524.9,122501974.8,123634113.7,121346612.7,132514386.4,140731909.5,144774160.4,130232378.2,137501920.8,124510720,139432180,126418100,138180510,134326040
EUU,production_Agr_5,9226980,9595466,9415976,8979742.37,8296505.1,8173609.54,8387903.87,8351814.33,8025118.96,8015328.06,7710604.36,7556328.76,7607293.09,7546959.75,7548041,7336183,7266596,7299419.28,7228722.8,7149983,7241293.56,7111277.95,6826322.69,6552037.09,6572738.31,6799424.6,6969447.03,6964962.64,7067070,6964050,6903450,6882710,6722100
EUU,production_Agr_6,18635572,18176582,18535701,19818067.06,19381245.45,19631764,20087170,19583570.38,21018467.22,21512399.43,20840287.15,20558198.21,20997322.49,21360003.24,20989776.2,21090218.16,21178047,22030926.84,22047381.66,21601827.36,22218338.62,22456085.78,22011883.3,21697761.59,21745581.72,22569121.1,22945890.39,22824293.99,23155520,22996180,23218640,23614670,22277120
EUU,production_Agr_7,5564834,6308710.9,6509690.71,6848867.2,7203431.02,7470873.88,7913889.3,8092730.95,8416798.65,8031353.79,6892259,7237768,7521044.4,7132372.63,7231818.13,7384493.33,7087802.65,7625035.17,7479107,8128325,8317389,8569991.4,8954508.05,9064571.06,9436517.68,9704001.98,10010855.75,10110930.12,10640967,10894174,11015380.65,10764985.84,10788426.79
EUU,production_Agr_8,98679,101075,101402.5,102349.24,103520.34,101022.9,103052.6,103910.5,105186.62,110095.93,108612.29,107137.54,110918.43,110108.57,106476,102231.52,100210.17,100508.23,96789.17,96391.34,98075.88,98497.19,96910.84,91943.49,71151.14,67155.41,67889.28,64979.9,58860,61320,54480,56230,68570
EUU,production_Agr_9,135794492,129161655,131816040.2,133424586.5,132853073.5,134263827.1,134071633.9,133741274.8,134605569,134422892.6,134947822.9,134021584.5,134143156.8,134282807.6,132432688.1,133386714.1,132702413,132798030.9,134675592,133343620.1,133693426.8,136237896.6,136703700.4,138312509.7,143283639.7,146200607.5,147708602.4,148814328,151273130,152581300,154495260,153993850,153625280
EUU,trade_export_1,64256,80822,63737,150588,211731,137370,113143,122483,133103,72806,52092.2,72443,61857,37873,70976,61423,70140,46929,68470,96664,172091,107807,120914,114370,147804.23,118312.89,114116.06,101015.61,111414.67,126803.67,176287.92,124616.36,110109.43
EUU,trade_export_2,27880644,27098826,29061158,27203065,23559467,29557897,23783919,24445092,25889739,30468919,29037996.07,28824731,28478282,29266410,24598596,30712408,33998097,28074061,37320213,45058776,47607678,40343493,40347785,50103293,57273556.62,57765624.59,63263622.61,53688855.54,48884100.5,54068134.41,60870817.92,55311263.5,55978675.72
EUU,trade_export_3,412222,489128,431754,302815,838535,372575,699800,1240718,1862291,1626749.13,1189708.56,1609172,1958269,1783913,1762114,1828844,1690541,1775199,1489227,1555975,2095066,1787784,2458583,1750945,1648678.22,1712400.8,1849742.02,2269054.13,2068370.75,2140832.99,2285696.08,2005339.76,2079507.06
EUU,trade_export_4,8237411,6461633,11324825,9534738,9874125,8462836,8005555,9744956,12195467,11600731,10609361.48,10096450,12514653,10749500,10076126,12671371,12050225,13133154,13744622,16723557,15917423,16642047,18920071,17897406,18426268.39,21993478.14,16984613.36,18099282.73,18605598.45,22155240.78,23991673.06,23668816.62,23083980.94
EUU,trade_export_5,2123158,2439384,2683901,2872593,3283177,3527805,3694016,3760222,4055664,4258742,4353694.29,4085886,3871327,4138112,4615542,4765256,5512123,5817370,6553355,7083990,6897094,7404095,7610165,7208271,7733789.41,8067085.02,8045244.87,7943863.35,7705461.17,7835449.43,7621456.9,7821933.33,7510008.83
EUU,trade_export_6,993178,964569,1107454,1199260,1221917,1350344,1440116,1544964,1715623,1730325,1685864.42,1713122,1800991,1822657,1801093,1943587,1980238,2061065,2109337,2344696,2825656,3121092,3121078,3060717,3143110.54,3322221.52,3547142.23,3855322.47,3981603.58,4108486.2,3902058.11,3883108.24,4016638.77
EUU,trade_export_7,3597,3158,3189,3114,2383,2434,3176,2616,2784,2511,2671,3440,3266,3993,3770,3961,4028,4843,4288,3627,3803,4563,4679,4875,5014.03,5369.54,6149.33,7159.68,8456.24,9475.04,8973.31,8614.51,9188.34
EUU,trade_export_8,2082136,2320883,2271741,2009095,2125369,1888542,1937670,1985181,2145169,2075557,1873994.66,1966987,1983850,2208395,2333206,2437971,2451442,2753136,2897853,2899941,2951120,3092606,4633468,4559633,4551458.8,4756777.59,4908684.9,4978081.46,4906781.86,5067472.86,5520461.88,5627866.99,4879905.04
EUU,trade_import_1,106053,94340,72654,218477,221701,271615,197007,157796,131951,115723,203225.76,117079,178143,110140,145322,113175,123987,87052,121111,114835,100825,154388,123001,99010,98323,178353.94,265589.63,134211.7,113919.1,125196.17,138539.22,152906.78,144544.45
EUU,trade_import_2,14686953,15729733,16397577,17435412,15892057,18165456,21176429,20970816,21426412,21163024,21073761.37,23633806,28412350,25118063,23479560,27300947,26451179,26114910,26350712,32117597,31970336,29660307,29159782,25809686,30891675.2,33192294.96,38047731.14,36453244.61,35090030.76,32377955.96,31951668.33,32003274.88,32161595.85
EUU,trade_import_3,13483706,12826575,14539663,13023782,13138763,16181272,13459199,14709800,16419535,16024305.37,15413264.55,19391953,19575557,18634338,15332315,15944211,15416903,16418076,15555655,13342893,14584506,13532963,13359589,14150490,14099011.95,14632508.45,15383187.35,14599893.64,16655943.85,16347027.07,17669960.74,17063220.12,16232996.05
EUU,trade_import_4,10794399,9223302,9095825,9871887,9614826,10410962,9522425,9754401,9668575,10522545,9962675.57,10244362,11318931,12265542,12226719,13089748,13883079,22574646,20545515,16862547,16608905,19782043,22608823,23483570,28175999.18,26437519.99,25579755.46,30968075.2,36332940.8,39399187.45,35388881.25,32716169.54,42771325.06
EUU,trade_import_5,1977106,2337374,2524538,2512149,3036093,3177168,3335597,3700473,4073627,4441607,4494591.92,4188477,4242748,4864897,4906649,5071013,5494147,5686919,6292991,6649172,6775755,7220385,7381390,7070263,7521125.87,7874709.96,8006678.96,8501261.25,7978432.02,7813426.7,7162169.21,7045031.1,7529847.61
EUU,trade_import_6,464090,498787,611021,627691,671625,610379,718060,814485,945472,827403,858225.18,979677,1003413,1133122,1224139,1391002,1347823,1390807,1572637,1587136,1694849,1856626,1927842,1935759,2011791.55,2108277.34,2170902.31,2438059.61,2550026.04,2557127.42,2388264.45,2617479.37,2931049.49
EUU,trade_import_7,3437,3209,3212,2787,2989,2904,4422,4857,3644,3828,4090,4524,4763,4892,4677,4581,4191,4022,3968,4374,3849,4515,5069,4410,4796.82,4534.36,4361.06,4722.18,5102.23,5691.87,5601.45,5155.53,8614.81
EUU,trade_import_8,1658566,1741567,2005173,1327288,1402481,1212218,1374935,1424091,1682194,1703869,1667582.54,1747696,1699014,1701336,1851937,2036929,2140431,2273477,2379642,2531952,2609003,2680910,3503334,3515477,3628174.43,3511018.44,3359483.69,3528832.98,3537906.63,3338320.14,3223315.97,3423482.28,3399953.62
FIN,production_Agr_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
FIN,production_Agr_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
FIN,production_Agr_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
FIN,production_Agr_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
FIN,production_Agr_4,626900,430500,212300,358500,337400,379500,459300,464100,396900,254100,538300,488900,568600,679000,782300,801300,684100,796800,787500,887000,724400,974800,887100,869400,1088200,992100,823900,802000,501600,914180,686620,687160,864180
FIN,production_Agr_5,118160,121670,117280,106350,107620,96170,96550,99610,93760,90480,91430,89770,90730,95820,93290,86710,87150,88570,81900,82050,83040,83500,81180,81190,83069,86490,86720,86080,87060,87760,87110,86250,84580
FIN,production_Agr_6,186970,177030,176040,169180,170660,167550,171820,179670,184520,181860,172790,173700,184240,193220,198490,203610,208270,213320,217070,205810,203210,201880,192940,194600,186130,191990,190160,181580,167410,168950,175070,176080,170480
FIN,production_Agr_7,32740,36500,35810,34650,39420,42560,49430,52730,61050,66100,64380,75650,82600,83730,86970,86990,87960,95370,100860,94870,87680,93580,99320,103730,106060,109848,117412,120800,127160,130720,136890,138600,138280
FIN,production_Agr_8,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,20,0,0
FIN,production_Agr_9,2816844,2566264,2475355,2462249,2511682,2467695,2431233,2462833,2447342,2403200,2450100,2529600,2532050,2471690,2449031,2433190,2412981,2355600,2310908,2332023,2336253,2300711,2296694,2327800,2400003,2435847,2429595,2405761,2397880,2374360,2406520,2314850,2258630
FIN,trade_export_1,,,,,,5,0,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,,0,0.4,0.01,0.01,,0,0,5.25
FIN,trade_export_2,13863,28475,186010,57233,54691,9266,43,1709,6993,1166,362,1149,1046,25776,48592,25451,26070,73613,71306,49933,142402,194365,214182,163454,174974.38,301660.42,249651.6,164422.18,59597.79,64295.83,152763.15,35925.15,50776.77
FIN,trade_export_3,,,,,1,0,0,0,0,13743,0,0,3303,0,0,31,0,0,0,0,1,1,0,0,3024.3,2.64,,0.43,0.3,0,0,,
FIN,trade_export_4,0,0,3,35,68,31,47,27,16,11,1,3,0,1,1,1,1,1,3,0,0,0,1,0,0.4,0.3,0.26,0.04,,,1.17,0.04,6.87
FIN,trade_export_5,156,186,285,335,421,1899,4165,7784,3105,786,594,666,917,1030,1209,1322,1579,2552,4446,5310,6399,9594,11735,12991,8800.55,642.71,724.56,1503.55,1449.56,815.35,3477.54,6016.76,9602.52
FIN,trade_export_6,13,49,56,42,2,127,469,533,526,1676,1503,3684,6169,4803,7059,7662,10229,8748,9656,9375,8576,9422,10514,10577,8948.85,12741.38,12872.96,9585.4,10263.83,11112.55,10544.53,8781.54,6130.5
FIN,trade_export_8,11314,12333,12440,10660,15825,3280,4513,9864,9114,10596,5190,4193,5651,11194,10659,12402,17009,15613,18175,11056,7113,6490,9331,12779,8438.75,11663.97,11674.39,9826.81,7223.07,16006.3,26199.97,24285.15,18018.93
FIN,trade_import_1,36,52,54,122,28,1835,22,4999,49,42,83,39,56,45,16,177,1711,1531,1517,1602,501,143,179,237,677.35,1030.5,986.48,815.63,825.9,360.53,422.2,522.69,827.14
FIN,trade_import_2,13711,30849,40166,58843,77013,131591,216322,133818,245679,228546,181463,93651,187240,63570,75048,23176,25739,16986,50228,29791,13410,7446,10094,11448,4655.9,9619.39,3284.33,20638.54,50917.87,14490.85,4927.76,10026.49,84381.97
FIN,trade_import_3,136480,129435,164076,134829,114611,155872,161058,185347,147268,168973,107364,182242,133761,112599,82602,62306,29822,5172,12221,5252,10366,6221,6776,41154,38991.52,24715.69,70872.11,12553.37,47462.88,23665.63,28515.57,26812.79,25351.51
FIN,trade_import_4,477,462,590,649,634,483,564,3031,550,479,407,352,2533,342,2968,247,2195,3286,3383,250,177,220,1618,2457,6149.83,4507.47,2645.21,7468.44,57668.69,26091.8,22828.14,32237.73,80917.38
FIN,trade_import_5,0,0,0,0,6,176,215,173,173,139,115,173,230,687,1499,1519,2365,2368,1778,23014,22209,25066,27002,24645,17533.3,12413.8,8965.48,9236.51,8018.72,5936.39,5098.55,4029.93,3884.77
FIN,trade_import_6,1,2,9,0,176,853,400,380,407,635,1329,1377,1353,1960,2052,3351,2911,3406,3794,3915,3878,3069,2685,2584,3445.28,4246.7,4984.94,5432.53,5154.97,4517.18,4342.45,3745.83,4823.08
FIN,trade_import_7,,,,,,,11,8,6,10,0,0,0,0,0,15,0,,,,,0,6,6,3.3,4.22,2.21,3.16,3.58,6.62,10.38,11.41,11.85
FIN,trade_import_8,36,5,31,727,1507,862,1704,1917,2572,4323,3719,1932,1369,885,877,539,1030,489,485,267,706,573,1622,1965,2724.44,2480.12,2197.74,2069.18,1933.47,2010.08,1316.05,1304.08,2076.14
FJI,production_Agr_1,1950,496,964,522,1531,1245,2061,1120,1298,724,979,251,631,1014,39,730,939,304,604,471,923,200,177,813,975.58,1073,867,960.6,1208,1400,1703.7,1438,1685.19
FJI,production_Agr_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FJI,production_Agr_2,26477,29038,22479,22284,18019,18496,17370,17385,5092,17301,13170,14612,12852,15504,14358,15189,12732,14870,11595,11637,7664,7914,4653,6873,6843.45,6329,8649,9081,7051,6589.15,8846.96,10367.75,12990.97
FJI,production_Agr_5,10640,2847,2624,2430,2306,2217,2401,3279,3177,2984,2688,2874,2452,2456,2233,2252,2255,1958,1866,1719,2022.9,2197,1613,2272,2800,3591,2032,4207,3587,2794,2507,3989,3706
FJI,production_Agr_6,3172.5,3262.5,3186,3397.5,3523.5,3222,3366,3854.7,3460.14,4050,3825,3870,3915,3937.5,3937.5,3937.5,3960,3982.5,3951,3987,4005,4059,4005,4050,4000.2,3996.77,4048.16,4057.48,4069.57,4122.28,4101.95,4107.74,4113.34
FJI,production_Agr_7,5492,5888,6057,5742,8144,8763,9602,9156,7775,8261,8100,8237,10623,12165,12900,12090,13579,14413,14429,11866,14383,20428,25756,17076,21840,23400,15115,33071,35499,34188,25368,25715,45158
FJI,production_Agr_8,648,660,720,637,758,801,806,833,875,905,934,971,762,810,1158,930,946,969,983,253.9,227,134,100,154,105,84,77,184,194,187,160,186,211
FJI,production_Agr_9,58000,62000,39317.43,63000,65261,66000,60700,57800,57000,55000,56000,57000,57500,38695.81,50000,57000,57500,58000,58500,12414,13766,13914,12646,13515,16684,12634,14172,12982,11767,10767,12393,11399,12766.88
FJI,trade_export_1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,3,9,77,8,26,15.27,7.77,5,6.7,0.03,2.04,19.86,36.38,104
FJI,trade_export_2,0,0,0,1942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,8,15,0,0,13,,4.05,0.04,0.04,3.02,1.1,,,
FJI,trade_export_3,,,,,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0.1,1.84,0.01,0.02,0.23,0.2,0.71,0,0.06
FJI,trade_export_4,0,0,0,0,0,0,15,0,0,0,0,0,1,0,4,4,3,0,0,6,0,10,1,24,6.24,1.67,4.14,3.79,2.71,1.97,7.86,4.22,6.16
FJI,trade_export_5,26,16,15,35,8,0,3,0,0,0,3,0,0,1,0,0,0,0,22,2,6,4,22,53,111.91,103.22,30.17,29.52,62.33,68.82,59.1,23.88,22.52
FJI,trade_export_6,99,38,27,38,114,100,20,18,13,20,3,12,27,23,11,7,42,29,88,98,29,61,24,94,111.77,192.26,232.38,287.04,301.56,339.08,364.51,313.89,287.09
FJI,trade_export_7,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.07,0.37,,,,,,0.04
FJI,trade_export_8,10,10,9,3,1,0,4,0,0,0,0,18,0,7,4,5,0,9,1,12,6,30,7,6,8.94,10.17,10.21,5.93,0.43,0.46,4.79,10.05,9.15
FJI,trade_import_1,0,0,0,0,431,0,0,0,0,0,0,0,5050,5652,1149,0,0,0,10,0,0,5,0,0,,,0.3,,37.28,58.62,0.17,1.11,0.38
FJI,trade_import_2,54576,74419,45876,88373,78504,139447,70000,72000,75000,78000,103892,210358,106795,57624,87480,114115,144146,136061,121764,92805,81696,102899,160037,161029,93333.47,118073.9,172739.83,59956.08,68331.2,177753.86,163689.6,112273.8,131151
FJI,trade_import_3,5,0,0,2,0,0,0,0,0,0,1,15,3,3,44,6,4,3,4,148,5,13,197,1,40.87,0.88,0.28,4.8,966.85,3.36,1.98,1.69,24.76
FJI,trade_import_4,851,1407,3470,629,102,600,1600,1900,543,100,51,87,46,84,85,100,94,79,247,67,63,22,57,52,86.26,95.83,105.72,121.84,171.77,125.6,35.49,130.29,123.75
FJI,trade_import_5,1,3,3,87,250,400,221,220,220,220,49,33,527,34,1209,882,814,3578,6237,2863,4036,2919,3233,3065,4081.41,2950.6,1347.41,1548.39,2036.67,1969.38,1169.45,1393.77,2677.78
FJI,trade_import_6,31,53,584,2359,446,100,100,770,892,1400,707,762,549,642,1950,2782,1948,1082,1408,1116,1419,1137,2101,845,783.73,982.76,1571.55,2362.02,4125.77,4538.83,3368.03,3579.13,4680.29
FJI,trade_import_7,91,109,136,121,114,0,88,80,68,90,0,0,15,39,21,47,20,26,24,35,5,9,33,112,129.24,130.67,81.89,5.79,89.7,2.59,,,74.03
FJI,trade_import_8,3,5,15,9,47,30,30,70,60,160,37,59,274,206,149,180,147,86,195,72,150,204,231,187,198,101.4,208.32,298.18,302.54,141.78,26.32,33.17,389
FRA,production_Agr_1,9400500,12796831.1,14822656.5,14726034.7,12816279.4,12583865.9,14318927.9,16534987.8,14885495.1,15354734.8,16018168.3,16420734.7,16418382.6,12045463.6,16375868,13689322.4,12903718.5,14505519.1,16037987.9,15513841.1,13975284.8,15914121.2,15393496.8,15041226,18343320,13716048.4,11839729,14534897,12580430,12845020,13726410,15358290,10877190
FRA,production_Agr_10,430832,420601.9,413903.8,400019.8,399862.5,424763.6,450856.9,467387.3,471063.3,475620.5,473836.7,485367.1,509761,525824.5,536182.7,553691.1,574453.1,573875.9,567265,606848.1,645176.1,655252,613711,583318,589038,595488,628440,648897,648370,654880,709510,718260,717610
