competition_id,season,stage,group,table_type,position,team_id,team_name,team_crest,played_games,form,won,draw,lost,points,goals_for,goals_against,goal_difference
2000,2026,GROUP_STAGE,,TOTAL,29,801,Saudi Arabia,https://crests.football-data.org/saudi_arabia.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,30,758,Uruguay,https://crests.football-data.org/758.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,31,840,Iran,https://crests.football-data.org/iran.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,32,783,New Zealand,https://crests.football-data.org/783.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,33,773,France,https://crests.football-data.org/773.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,34,804,Senegal,https://crests.football-data.org/senegal.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,35,8062,Iraq,https://crests.football-data.org/iraq.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,36,8872,Norway,https://crests.football-data.org/813.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,37,762,Argentina,https://crests.football-data.org/762.png,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,38,778,Algeria,https://crests.football-data.org/algeria.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,39,816,Austria,https://crests.football-data.org/816.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,40,8049,Jordan,https://crests.football-data.org/8049.png,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,41,765,Portugal,https://crests.football-data.org/765.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,42,1934,Congo DR,https://crests.football-data.org/congo_dr.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,43,770,England,https://crests.football-data.org/770.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,44,799,Croatia,https://crests.football-data.org/799.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,45,763,Ghana,https://crests.football-data.org/ghana.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,46,1836,Panama,https://crests.football-data.org/panama.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,47,8070,Uzbekistan,https://crests.football-data.org/8070.png,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,TOTAL,48,818,Colombia,https://crests.football-data.org/818.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,1,769,Mexico,https://crests.football-data.org/769.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,2,774,South Africa,https://crests.football-data.org/9396.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,3,772,South Korea,https://crests.football-data.org/772.png,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,4,798,Czechia,https://crests.football-data.org/798.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,5,828,Canada,https://crests.football-data.org/canada.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,6,1060,Bosnia-Herzegovina,https://crests.football-data.org/bosnia.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,7,771,United States,https://crests.football-data.org/usa.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,8,761,Paraguay,https://crests.football-data.org/761.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,9,8030,Qatar,https://crests.football-data.org/8030.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,10,788,Switzerland,https://crests.football-data.org/788.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,11,764,Brazil,https://crests.football-data.org/764.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,12,815,Morocco,https://crests.football-data.org/morocco.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,13,836,Haiti,https://crests.football-data.org/haiti.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,14,8873,Scotland,https://crests.football-data.org/814.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,15,779,Australia,https://crests.football-data.org/779.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,16,803,Turkey,https://crests.football-data.org/803.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,17,759,Germany,https://crests.football-data.org/759.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,18,9460,Curaçao,https://crests.football-data.org/curacao.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,19,8601,Netherlands,https://crests.football-data.org/8601.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,20,766,Japan,https://crests.football-data.org/766.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,21,1935,Ivory Coast,https://crests.football-data.org/787.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,22,791,Ecuador,https://crests.football-data.org/791.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,23,792,Sweden,https://crests.football-data.org/792.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,24,802,Tunisia,https://crests.football-data.org/tunisia.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,25,760,Spain,https://crests.football-data.org/760.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,26,1930,Cape Verde Islands,https://crests.football-data.org/cape_verde.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,27,805,Belgium,https://crests.football-data.org/805.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,28,825,Egypt,https://crests.football-data.org/825.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,29,801,Saudi Arabia,https://crests.football-data.org/saudi_arabia.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,30,758,Uruguay,https://crests.football-data.org/758.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,31,840,Iran,https://crests.football-data.org/iran.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,32,783,New Zealand,https://crests.football-data.org/783.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,33,773,France,https://crests.football-data.org/773.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,34,804,Senegal,https://crests.football-data.org/senegal.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,35,8062,Iraq,https://crests.football-data.org/iraq.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,36,8872,Norway,https://crests.football-data.org/813.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,37,762,Argentina,https://crests.football-data.org/762.png,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,38,778,Algeria,https://crests.football-data.org/algeria.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,39,816,Austria,https://crests.football-data.org/816.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,40,8049,Jordan,https://crests.football-data.org/8049.png,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,41,765,Portugal,https://crests.football-data.org/765.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,42,1934,Congo DR,https://crests.football-data.org/congo_dr.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,43,770,England,https://crests.football-data.org/770.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,44,799,Croatia,https://crests.football-data.org/799.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,45,763,Ghana,https://crests.football-data.org/ghana.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,46,1836,Panama,https://crests.football-data.org/panama.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,47,8070,Uzbekistan,https://crests.football-data.org/8070.png,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,HOME,48,818,Colombia,https://crests.football-data.org/818.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,1,769,Mexico,https://crests.football-data.org/769.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,2,774,South Africa,https://crests.football-data.org/9396.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,3,772,South Korea,https://crests.football-data.org/772.png,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,4,798,Czechia,https://crests.football-data.org/798.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,5,828,Canada,https://crests.football-data.org/canada.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,6,1060,Bosnia-Herzegovina,https://crests.football-data.org/bosnia.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,7,771,United States,https://crests.football-data.org/usa.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,8,761,Paraguay,https://crests.football-data.org/761.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,9,8030,Qatar,https://crests.football-data.org/8030.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,10,788,Switzerland,https://crests.football-data.org/788.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,11,764,Brazil,https://crests.football-data.org/764.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,12,815,Morocco,https://crests.football-data.org/morocco.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,13,836,Haiti,https://crests.football-data.org/haiti.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,14,8873,Scotland,https://crests.football-data.org/814.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,15,779,Australia,https://crests.football-data.org/779.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,16,803,Turkey,https://crests.football-data.org/803.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,17,759,Germany,https://crests.football-data.org/759.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,18,9460,Curaçao,https://crests.football-data.org/curacao.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,19,8601,Netherlands,https://crests.football-data.org/8601.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,20,766,Japan,https://crests.football-data.org/766.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,21,1935,Ivory Coast,https://crests.football-data.org/787.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,22,791,Ecuador,https://crests.football-data.org/791.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,23,792,Sweden,https://crests.football-data.org/792.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,24,802,Tunisia,https://crests.football-data.org/tunisia.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,25,760,Spain,https://crests.football-data.org/760.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,26,1930,Cape Verde Islands,https://crests.football-data.org/cape_verde.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,27,805,Belgium,https://crests.football-data.org/805.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,28,825,Egypt,https://crests.football-data.org/825.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,29,801,Saudi Arabia,https://crests.football-data.org/saudi_arabia.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,30,758,Uruguay,https://crests.football-data.org/758.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,31,840,Iran,https://crests.football-data.org/iran.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,32,783,New Zealand,https://crests.football-data.org/783.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,33,773,France,https://crests.football-data.org/773.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,34,804,Senegal,https://crests.football-data.org/senegal.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,35,8062,Iraq,https://crests.football-data.org/iraq.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,36,8872,Norway,https://crests.football-data.org/813.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,37,762,Argentina,https://crests.football-data.org/762.png,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,38,778,Algeria,https://crests.football-data.org/algeria.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,39,816,Austria,https://crests.football-data.org/816.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,40,8049,Jordan,https://crests.football-data.org/8049.png,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,41,765,Portugal,https://crests.football-data.org/765.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,42,1934,Congo DR,https://crests.football-data.org/congo_dr.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,43,770,England,https://crests.football-data.org/770.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,44,799,Croatia,https://crests.football-data.org/799.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,45,763,Ghana,https://crests.football-data.org/ghana.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,46,1836,Panama,https://crests.football-data.org/panama.svg,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,47,8070,Uzbekistan,https://crests.football-data.org/8070.png,0,,0,0,0,0,0,0,0
2000,2026,GROUP_STAGE,,AWAY,48,818,Colombia,https://crests.football-data.org/818.svg,0,,0,0,0,0,0,0,0
