"Data last updated April 1, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Share of global emissions covered (accounting for overlap of coverage between instruments). Global GHG Emissions is sourced from the EDGAR (Emissions Database for Global Atmospheric Research) Community GHG Database (2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name of the initiative,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Switzerland ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0001500818893","0,00014652561","0,0001440733738","0,0001297100604","0,00013145811","0,00013241088","0,0001225302062","0,0001212509938","0,0001218379296","0,0001176260082","0,0001119354626","0,0001109317983","0,0001094289531","0,0001087443659","0,0001005898467","0,00009843776523","0,00009843776523","0,0001066409123"
China national ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,09695855369","0,09621185257","0,0962934931","0,1529367243","0,1529367243"
Beijing pilot ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0006753151784","0,0006883055159","0,000646668531","0,0005781833948","0,0005316433987","0,0005236891222","0,000521192158","0,001013628986","0,0006787098758","0,0008466643026","0,0008737504569","0,0004716384968","0,0004716384968"
Chongqing pilot ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,001185054975","0,001188600391","0,001207954334","0,001067675478","0,001011229143","0,001021464685","0,001589370251","0,001591378706","0,001577460594","0,001627926098","0,0005552048175","0,0005552048175"
Fujian pilot ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,001947199096","0,002054261249","0,002190990413","0,002367511702","0,002554345046","0,002554276138","0,002236348301","0,002307892684","0,0009629694038","0,0009629694038"
Guangdong pilot ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,006804606315","0,006860604277","0,006840577868","0,006927543252","0,007167698587","0,007322874815","0,00743991481","0,009426749574","0,005138803345","0,005118470557","0,005607679892","0,001774821245","0,001774821245"
Hubei pilot ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,002437428849","0,002453777135","0,002451908865","0,002534548221","0,002394832272","0,002607880658","0,003365248235","0,003529291354","0,003463626692","0,003379712797","0,001448860715","0,001448860715"
Shanghai pilot ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,001610028977","0,001376867046","0,001425258198","0,001388004389","0,001350941885","0,00127745486","0,00133857415","0,002128620872","0,00211369647","0,001924237051","0,001982513093","0,001044777543","0,001044777543"
Shenzhen pilot ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000296665255","0,0003483509951","0,0003493304962","0,0003566355758","0,0003630181518","0,000445996754","0,0004847927684","0,0005003016334","0,0005286701582","0,0003512013165","0,0003512013165"
Tianjin pilot ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,001272950738","0,001204622694","0,001133616384","0,001088112572","0,001084996475","0,001110427662","0,001099865405","0,001452542756","0,001454378305","0,001443177789","0,001397199704","0,0006646236096","0,0006646236096"
Germany ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,005925342067","0,00571832402","0,00502059221","0,00502059221","0,00502059221"
EU ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,05123519731","0,04976678012","0,04790755694","0,04641721136","0,04367851724","0,04272542139","0,04018840599","0,03927881445","0,03592568221","0,03422109018","0,03462106153","0,03433404237","0,03385962519","0,03242125891","0,03098769965","0,02965417699","0,02681868395","0,02591478045","0,02355379147","0,02355379147","0,0247934647"
Indonesia ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,005891876819","0,005891876819","0,005436389418"
Saitama ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0001590413611",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokyo CaT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0002734468508","0,0002655522199",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Korea ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,01293473514","0,01317787831","0,01314284142","0,01292710064","0,0125345195","0,01243327176","0,01226264794","0,01144553841","0,01098733424","0,01098733424","0,009752802299"
Kazakhstan ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00343918569","0,002905111259","0,002605403812","0,002710894326","0,002823300358","0,00279347068","0,002669792434","0,002862646422","0,002945797972","0,002902346869","0,002842819797","0,002842819797","0,002600877686"
Montenegro ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000001222909241","0,000001208055737","0,000001208055737","0,000001209710608"
Mexico ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,005221250499","0,00520126629","0,005291991043","0,00537810184","0,00537810184","0,004840291656"
New Zealand ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0009428409038","0,0009284451372","0,0008874759663","0,0008568825637","0,0008721214189","0,0008459191269","0,000855023714","0,0008460448852","0,0008396156501","0,0008384637537","0,0008159346352","0,0008203810201","0,0008249615437","0,0007871074503","0,0007702089298","0,0007631865323","0,0007631865323","0,0006995876546"
RGGI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,002318417101","0,002238114891","0,00210095132","0,001966218739","0,001980244396","0,002015913975","0,002012690443","0,001969504133","0,001861429067","0,00190288201","0,001841956642","0,001714873737","0,001715094426","0,001701886072","0,001669931575","0,001669931575","0,001669931575"
UK ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,002278478857","0,002190271724","0,002005344179","0,002005344179","0,001933724744"
California CaT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,003054452269","0,003024331689","0,002965364946","0,006537900597","0,006445093821","0,006372194664","0,006228592803","0,006248556469","0,005758703601","0,005797133309","0,005752488192","0,005644479867","0,005644479867","0,005644479867"
Massachusetts ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington CCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,001138411885","0,001138411885","0,001154674912"
Oregon ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0004288290669","0,0004255265512","0,0004175368937","0,0004175368937","0,0004660876953"
Colorado GHG crediting trading system,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00000006365311581"
Albania carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0001286903984","0,0001295884014","0,0001282372736","0,0001312030388","0,0001246357301","0,0001265720696","0,0001327767807","0,0001307168663","0,0001243463804","0,0001341200909","0,0001309424787","0,0001226941066","0,0001179087734","0,0001188427481","0,0001097349267","0,0001057676441","0,0001057676441","0,0001057676441"
Argentina carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,002709384433","0,002674647297","0,00267554875","0,002708892302","0,002740292136","0,002623717399","0,002623717399","0,002623717399"
Canada federal fuel charge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,004763833977","0,004474132201","0,004377931827","0,004445487401","0,004376259601","0,004376259601",0
Alberta carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,002298767474","0,002255285452","0,002252404875",0,0,0,0,0,0
BC carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0011113965","0,001060566273","0,001002516223","0,0009910897218","0,001021130798","0,0009918648066","0,0009690508704","0,0009834262673","0,0009947285004","0,0009944083961","0,001003394292","0,0009828675816","0,0009568657632","0,0009152887468","0,0009082398882","0,0008911868381","0,0008911868381",0
New Brunswick carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0001783987016","0,0001861604231","0,0001847267569","0,0001812583399",0,0
Newfoundland and Labrador carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0001008219325","0,00008384738976","0,00007564706359","0,00007506448737","0,00007365508168",0,0
Northwest Territories carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00002074942672","0,00001848859271","0,00001915901021","0,00001901146207","0,00001865450415","0,00001865450415",0
Prince Edward Island carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00001528905127","0,00001589370251","0,00001520310122","0,00001508601848","0,00001480276443",0,0
Switzerland carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0004377388438","0,0004273663624","0,0004202140068","0,0003783210094","0,0003834194875","0,0003861984","0,0003573797682","0,000353648732","0,0003553606281","0,0003430758574","0,0003264784326","0,0003235510783","0,00031916778","0,0003171710671","0,000293387053","0,0002871101486","0,0002871101486","0,0002871101486"
Chile carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,001362079236","0,001350310338","0,00141074654","0,001383602961","0,001336281429","0,001327019196","0,001261345119","0,001261345119","0,001261345119"
Taiwan carbon fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,004647499247","0,003137061991"
Colombia carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0007445160285","0,0007591764639","0,000774571688","0,0007967261634","0,0008069909116","0,000820133469","0,0008457462563","0,0008457462563","0,0008457462563"
Denmark carbon tax,0,0,"0,001082929911","0,001119348909","0,001162","0,001091306075","0,001258071198","0,001107279211","0,001049210787","0,001001275329","0,0009231176003","0,0009376328578","0,0009157003699","0,0009489181474","0,0008377886063","0,0007219473167","0,000778925083","0,0007098405051","0,0006674272697","0,0006503773421","0,0006225353355","0,000553847322","0,0005006375843","0,0005130455488","0,0004712262652","0,0004544015863","0,0004700560368","0,0004425588529","0,0004346999927","0,0004033798237","0,0003984178752","0,0003932126566","0,0003752961105","0,000356368258","0,000356368258","0,0003475222374"
Estonia carbon tax,0,0,0,0,0,0,0,0,0,0,"0,00005715684149","0,00005750674931","0,0000543899078","0,00005783252344","0,00005665751819","0,00004911304651","0,00004569213516","0,00005216236742","0,00004798967104","0,0000414993155","0,00004929269709","0,00004823703011","0,00004565550039","0,00004927455731","0,00004741498707","0,00004410274117","0,00004362757625","0,00004542872377","0,00004672990918","0,00003296305433","0,0000264759318","0,00002667373813","0,00002696144301","0,0000244086585","0,0000244086585","0,0000244086585"
Spain carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0001310569974","0,0001363371217","0,0001323084232","0,0001353315079","0,0001296717398","0,0001221821861","0,0001118511952","0,0001136996511","0,0001114679789","0,0001023787528","0,0001023787528","0,0001077671082"
Finland carbon tax,"0,0009930948726","0,0009965254657","0,0009538991554","0,000971931123","0,001058","0,0009872591905","0,001050628991","0,001013414305","0,0009759958209","0,0009591128616","0,0009171240946","0,0009839666536","0,0009995231521","0,001060065273","0,0009753356034","0,0006908831138","0,0007842546023","0,0007447178422","0,0006610109476","0,0006349011789","0,0006875754625","0,0006002632626","0,0005432912147","0,0005413409577","0,0005058316172","0,0004774948394","0,0004970418639","0,0004651683006","0,0004650330324","0,0004364663297","0,0004130425305","0,0003936029053","0,0003590875175","0,0003175139865","0,0003175139865","0,0003175139865"
France carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,003729124426","0,003772911733","0,003766589861","0,003729182174","0,003542217409","0,00344495616","0,003230243339","0,003331397473","0,003202794064","0,002911614036","0,002911614036","0,002984404387"
Hungary carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0004363797514","0,0003977817207","0,0004000298871","0,0003882188071","0,0003862888112","0,0003994824015","0,0004172925775","0,0004047973894","0,0003731254472","0,0003595005765","0,000360396503","0,0003567044074","0,0003485479803","0,0003276995977","0,0003276995977","0,0003276995977"
Iceland carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00003798444393","0,00003587267557","0,00003536742484","0,00003507975861","0,00003302926759","0,00003465077841","0,0000312422688","0,00003205788644","0,00003131941484","0,00003004762211","0,0000297925516","0,0000295834867","0,00002943838043","0,0000275697259","0,0000275697259","0,00002835743235"
Japan carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,02362437949","0,02351151041","0,02249457087","0,02185802031","0,02171035433","0,02112013229","0,02001323692","0,01929060282","0,01895491675","0,01833322682","0,01704990693","0,01572435471","0,01572435471","0,01572435471"
Liechtenstein carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000004235535423","0,00000402892995","0,000003598812002","0,000003296510316","0,000003389819454","0,000003423062255","0,000002942958608","0,000002935527408","0,000002759148562","0,000002800382354","0,000002568062267","0,000002639701505","0,00000264192259","0,000002569013838","0,000002327557137","0,00000220228883","0,00000220228883","0,00000220228883"
Latvia carbon Tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000005701281772","0,000005652784031","0,000005826683244","0,000005892576354","0,000005568657201","0,000005290464056","0,000005496855389","0,000005122940415","0,000005047230709","0,000004871593434","0,000004778486939","0,000004902236399","0,000004888360012","0,000004759295634","0,0000048750639","0,000004778873072","0,000004723086966","0,000004601469819","0,000004265454632","0,00000413778499","0,00000413778499","0,00000413778499"
Luxembourg carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0001285632135","0,0001125839905","0,0001068644755","0,0001068644755","0,0001068644755"
Mexico carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,004045592198","0,004115867937","0,004156592486","0,00412459441","0,003904525502","0,003948449935","0,001589870777","0,001583785585","0,001611411272","0,00163763201","0,00163763201","0,001680656825"
Baja California carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0001637674519","0,000163140636",0,0,0,0
Durango carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0001290661721",0
Guanajuato carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0001977870997","0,0001977870997",0
Queretaro carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00006682900698","0,00006791644251","0,00006791644251",0
State of Mexico carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamaulipas carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0003702584973","0,0003762833099",0,0
Yucatan carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0001151484998","0,0001170221857","0,0001170221857",0
Zacatecas carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0001084996175","0,0001027105895","0,0001038660448","0,00009957710472","0,00009919597578","0,0001009262333","0,0001025684958","0,0001025684958",0
Netherlands carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00003388076581","0,00003101218082","0,00002846243035","0,00002846243035","0,00002846243035"
Norway carbon tax,0,"0,001015977169","0,001012360636","0,001062601997","0,001099","0,001061906604","0,001051941175","0,001089316188","0,001114294044","0,001135750597","0,00102198885","0,001030141399","0,001000291649","0,001024769005","0,0009958826246","0,0006553549327","0,0006471827349","0,0006419601313","0,0006554312758","0,0006292145071","0,000630285412","0,0005973243563","0,0005730067477","0,0005706777864","0,0005657474181","0,0005772412039","0,0005681511047","0,0005583733294","0,0005427821653","0,0005254566712","0,0005345870568","0,0005182151389","0,0005083607808","0,0004942110884","0,0004942110884","0,0004390607719"
Poland carbon tax,"0,003761032701","0,003675042371","0,003581125658","0,003547070377","0,00346","0,003380308178","0,003418084737","0,00331084994","0,003043157633","0,002930873253","0,00275236263","0,002689722472","0,002606978029","0,002568995438","0,002468411749","0,002391033043","0,002403706401","0,00232138313","0,002259853614","0,002190585034","0,002184446487","0,002104344819","0,002052270745","0,001984705189","0,001896591172","0,001910943195","0,001957257439","0,001991403064","0,001942866884","0,001847198601","0,001836746679","0,001885258275","0,001834436341","0,001648518546","0,001648518546","0,001648518546"
Portugal carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0005466186402","0,0005366187849","0,0005706164668","0,0005276701773","0,0004921810232","0,0004658872471","0,0004327349793","0,0004327037531","0,0004003136304","0,0004003136304","0,0004003136304"
Sweden carbon tax,0,"0,0009165087575","0,0009511517442","0,0009564463392","0,000982","0,0009491449313","0,0009922568118","0,0009196534392","0,0009196898765","0,0009003491321","0,0008360697264","0,0008271682325","0,0008361159301","0,0008063229479","0,0007615692839","0,0006873374609","0,0006727339482","0,0006302390048","0,0006119409596","0,0005733488027","0,0005956215579","0,000539458619","0,0005090721448","0,0004838785313","0,0004687838779","0,0004703235261","0,0004663428597","0,0004525372287","0,0004207660636","0,0004162145661","0,0004220163719","0,0004182814154","0,0003858479772","0,0003709631194","0,0003709631194","0,0003709631194"
Singapore carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,001071976261","0,001090156167","0,001085664817","0,001092180835","0,001108115397","0,001108115397","0,0009959011793"
Slovenia carbon tax,0,0,0,0,0,0,"0,0003131242037","0,0003201737828","0,0003169472256","0,0003047992782","0,0002930829494","0,0003164822691","0,0003232456162","0,000308069458","0,000303305641","0,0002960978471","0,0002894886573","0,0002799322336","0,0002853857547","0,0002612600592","0,0002500125455","0,0002310422761","0,0002213631612","0,0002162047853","0,0001973919837","0,0002004415205","0,0002072031346","0,0002075072218","0,0002013904985","0,0001938013427","0,0001876561344","0,0001809708058",0,"0,0001380024997","0,0001380024997","0,0001389084242"
Ukraine carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00295599471","0,002856184075","0,002752971129","0,002394167426","0,002036443076","0,002073340897","0,001873010826","0,001913971632","0,001852504767","0,001865415061","0,001747080726","0,001332956389","0,001305620773","0,001305620773","0,001305620773"
UK Carbon Price Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,001488195455","0,001371242398","0,001334595091","0,001267284332","0,001217259087","0,001167194149","0,001116989319","0,001053129554",0,0,0,0,0
Uruguay CO2 tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00003649959017","0,00003537435929","0,00003537435929","0,00003930484365"
South Africa carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00964024937","0,009005118602","0,008761315292","0,008410494843","0,008083644321","0,008083644321","0,008083644321"
Israel carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00117196689"
Colima carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Luis Potosí carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico City carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morelos carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000008071660451"
