"Data last updated April 1, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument name,Jurisdiction,Status,Type,Country income group,Metric,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mexico carbon tax,Mexico,Implemented,Carbon tax,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,"746,1131901","484,5750781","452,1109837","631,6526832","298,6499924","270,140702","206,0260086","311,4768825","211,2679512","460,2936542","410,6483521"
Mexico ETS,Mexico,Implemented,ETS,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,
Montenegro ETS,Montenegro,Implemented,ETS,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,061916","13,80456606"
Netherlands carbon tax,Netherlands,Implemented,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0
New Brunswick carbon tax,New Brunswick,Abolished,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"91,20927502","99,84670002","124,1657613",,
New Brunswick OBPS,New Brunswick,Implemented,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ETS,New Zealand,Implemented,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,,0,0,"1,341760325","1,446852375","0,00003866","0,0004599","0,000305505","0,00028512","0,0703296","0,769266068","281,6064631","149,2341828","1664,77979","1280,882844","21,09215396","293,3856903"
Newfoundland and Labrador carbon tax,Newfoundland and Labrador,Abolished,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,26052571","42,81626064","79,26416008","84,86981996","26,43504532",
Newfoundland and Labrador PSS,Newfoundland and Labrador,Implemented,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,043375827","0,130249884","0,140332326","0,437765763"
Northwest Territories carbon tax,Northwest Territories,Abolished,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,335283651","13,91253302","26,14168146","34,11551296","43,80664653","54,57733616"
Norway carbon tax,Norway,Implemented,Carbon tax,High income,US$ millions,,,,,"365,0510386","414,6479786","428,9342055","415,1998908","420,970266","876,4201841","766,5814391","691,4979409","877,9131179","968,4590802","1043,822978","1135,39462","1273,548635","1360,741268","1594,434262","1080,118042","1076,189892","1347,616656","1174,101248","1371,131468","1634,682456","1402,437476","1527,102446","1532,252295","1728,072756","1659,323146","1558,32545","1746,083475","1897,208951","1466,781788","1605,429133"
Nova Scotia OBPS,Nova Scotia,Implemented,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,"21,09362017","36,1601133","40,36900512","25,74618622","13,0062665"
Ontario CaT,Ontario,Abolished,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1149,135735","540,4617227",,,,,,
Ontario EPS,Ontario,Implemented,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon ETS,Oregon,Implemented,ETS,High income,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland carbon tax,Poland,Implemented,Carbon tax,High income,US$ millions,"1,052631579","0,943396226","0,735294118","0,552486188",,,,,,,,,,,,,,,,,,,,,,,"1,144627096","1,25189645",,,,,"6,623094432","1,257744445","6,864587248"
Portugal carbon tax,Portugal,Implemented,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,"93,24","138,6187181","157,30354","160,8804","291,2832683","263,2","356,04464","467,2485",,"1270,231838"
Prince Edward Island carbon tax,Prince Edward Island,Abolished,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,18250936","9,539184033","24,68936582","23,33734285","10,57401813",
Quebec CaT,Quebec,Implemented,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,0,0,0,0,0,"28,0341126","105,2537339","665,5394002","350,5723576","476,5870951","631,4104959","739,6699768","506,232901","908,4183043","1038,356528","1072,012866","1054,886144"
Saitama ETS,Saitama,Implemented,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,,,
Saskatchewan OBPS,Saskatchewan,Abolished,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,7041355","342,8354249","266,4283668"
Shanghai pilot ETS,Shanghai,Implemented,ETS,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,16073178"
Shenzhen pilot ETS,Shenzhen,Implemented,ETS,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,0,"0,325081677",0,0,0,0,0,"0,376610505",0,"3,767787357",0,
Singapore carbon tax,Singapore,Implemented,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"138,7473994","154,147664","142,0877306","158,7593125","150,2729821"
Slovenia carbon tax,Slovenia,Implemented,Carbon tax,High income,US$ millions,,,,,,,,,,0,"29,6236","26,288","32,7129","56,5607","70,5744","58,0176","45,7668","39,1645","50,48","45,1072","40,6824","44,9128","71,763","140,7996","147,8304","139,86","82,34181269","84,39019007","86,20932666","83,92431362","140,448","156,1171132","80,2902225","90,5322522","172,9945"
South Africa carbon tax,South Africa,Implemented,Carbon tax,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"36,72561145","96,77417774","102,8874269","119,8497123","92,17822214"
Spain carbon tax,Spain,Implemented,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,"42,4328","109,89",,"199,71","128,2251762","124,839","123,2","83,188","99,0375","103,227","118,195"
Sweden carbon tax,Sweden,Implemented,Carbon tax,High income,US$ millions,,"1397,531435","1578,152357","1366,283545","1411,995671","1570,200179","2058,570977","1613,590853","1623,377438","1510,438909","1369,304965","1564,130936","2182,854013","2977,555486","3501,821795","3251,830627","3410,61337","3654,836364","4260,73951","3417,240249","3494,279322","4024,589514","3625,201057","3604,848267","3491,239358","2963,37336","2695,653082","2793,39249","2656,279646","2477,778243","2143,531836","2487,789747","2137,894174","2073,560718","2306,382062"
Switzerland carbon tax,Switzerland,Implemented,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,"215,9337409","200,1291156","550,8276443","588,6524823","581,955202","686,8451688","853,4385569","902,2396773","1029,457046","1107,634543","1179,48976","1213,416807","1237,135167","1260,404281","1555,734888","1187,635274","1425,876609"
Switzerland ETS,Switzerland,Implemented,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,"9,372840782","5,056454438","4,117089583","4,903205272","4,441529604","8,712732635","8,270122305","18,93428704","45,65282985","38,74602159","49,9576117"
Tamaulipas carbon tax,Tamaulipas,Implemented,Carbon tax,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,846264051",0,"82,19438055"
Tianjin pilot ETS,Tianjin,Implemented,ETS,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,"8,036245222","11,70754352","12,74451197",0,
Tokyo CaT,Tokyo,Implemented,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,,,
Ukraine carbon tax,Ukraine,Implemented,Carbon tax,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,538958134","3,808750893",,,"32,18362357","43,46708291","112,8016161","85,93438086","79,70417674"
UK Carbon Price Support,United Kingdom,Implemented,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,"1021,4633","2047,752","2643,2392","1247,308554","1139,023901","1093,915238","1120,9019","853,4984","724,00125","850,79192","1016,31292","871,9368"
UK ETS,United Kingdom,Implemented,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,"5943,445822","7395,64853","5315,370593","3249,599462"
Uruguay CO2 tax,Uruguay,Implemented,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"262,3451383","283,709367","301,7463212"
Washington CCA,Washington,Implemented,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1824,524331","810,7652785"
Zacatecas carbon tax,Zacatecas,Implemented,Carbon tax,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,66409806","27,19596501","19,8905216","15,76969717"
Albania carbon tax,Albania,Implemented,Carbon tax,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Queretaro carbon tax,Queretaro,Implemented,Carbon tax,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,28637122","15,33662866"
State of Mexico carbon tax,State of Mexico,Implemented,Carbon tax,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,960842213","13,71311114"
Yucatan carbon tax,Yucatan,Implemented,Carbon tax,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,096441368","6,36769496"
Taiwan carbon fee,"Taiwan, China",Implemented,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Durango carbon tax,Durango,Implemented,Carbon tax,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,090365803"
Colima carbon tax,Colima,Implemented,Carbon tax,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
San Luis Potosí carbon tax,San Luis Potosí,Implemented,Carbon tax,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,062551319"
Hungary carbon tax,Hungary,Implemented,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"115,3911504","182,381332"
Guanajuato carbon tax,Guanajuato,Implemented,Carbon Tax,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,050432428","1,831731893"
Mexico City carbon tax,Mexico City,Implemented,Carbon tax,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Morelos carbon tax,Morelos,Implemented,Carbon tax,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Andorra carbon tax,Andorra,Implemented,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Colorado GHG crediting trading system,Colorado,Implemented,ETS,High income,US$ millions,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RGGI,RGGI,Implemented,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,"145,0656733","349,3564351","283,0840713","174,6369885","167,64559","447,9698768","367,2873091","435,9770901","266,4660049","198,3762521","239,3632511","283,9890488","416,2655057","926,1725379","1193,619123","1264,941115","1456,170302"
