Area,short names,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
GNQ,water_withdrawal,5.91,5.89,5.87,5.85,5.83,5.81,5.8,5.78,5.77,5.76,5.75,5.59,5.45,5.31,5.18,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05
GRC,water_withdrawal,97.94,88.68,98.28,88.35,88.05,97.6,87.57,87.41,88.06,88.66,89.2,89.05,90.94,88.57,89.35,90.11,88.83,87.83,87.21,86.6,85.99,85.37,83.37,83.46,83.52,83.6,79.98,80,80.09,80.15,80.09
GRD,water_withdrawal,,,,,,,,,,,,,,,,21.53,20.54,19.62,18.79,18.01,17.3,16.63,16.01,15.43,14.89,14.89,14.89,14.89,14.89,14.89,14.89
GTM,water_withdrawal,,,,,,,,,,,,60.64,59.65,58.78,58.02,57.34,56.74,56.74,56.74,56.74,56.74,56.74,56.74,56.74,56.74,56.74,56.74,56.74,56.74,56.74,56.74
GUY,water_withdrawal,,,98.49,98.36,98.24,98.12,98,97.89,97.77,97.67,97.56,97.02,96.48,95.92,95.35,94.77,94.69,94.61,94.52,94.44,94.34,94.34,94.34,94.34,94.34,94.34,94.34,94.34,94.34,94.34,94.34
HND,water_withdrawal,,,,,,,,,,,,,,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3
HRV,water_withdrawal,,,,,,,,,,,,,1.03,0.93,1.2,0.99,0.84,0.49,0.98,1.59,6.88,6.69,6.62,6.83,6.91,6.98,6.87,7.65,7.71,7.62,7.52
HTI,water_withdrawal,,94.36,93.34,92.45,91.68,91,90.39,89.79,89.21,88.63,88.06,87.51,86.96,86.42,85.89,85.37,84.86,84.36,83.87,83.38,83.38,83.38,83.38,83.38,83.38,83.38,83.38,83.38,83.38,83.38,83.38
HUN,water_withdrawal,19.26,16.23,13.3,12.04,10.68,9.2,7.58,7.31,7.03,7.68,12.13,12.25,11.88,11.62,10.47,5.65,5.51,5.52,5.67,5.84,6.01,6.19,6.37,8.65,11.16,12.71,9.99,11.06,10.81,11.17,11.76
IDN,water_withdrawal,93.13,91.5,90.03,88.69,87.46,86.34,85.3,84.35,83.47,82.64,81.88,80.44,79.22,78.17,77.26,76.46,77.6,78.66,79.65,80.58,81.45,82.27,83.04,83.76,84.45,84.83,85.21,85.21,85.21,85.21,85.21
