Annual Net emissions/removals in kt
Query results for — Party: Annex I and 46 other(s) | Year: Base year and 32 other(s) | Category: Total GHG emissions with LULUCF | Classification: Total for category | Type of value: Net emissions/removals | Gas: CO₂ | Unit: kt

Party \ Year,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021)
Finland,27915.805279445955,27915.805279445955,13761.468295784814,18823.595067477603,20188.255956464123,32357.953063706023,30049.01916107158,29582.477645088456,32808.99929170591,31426.612975139316,30696.283689879023,29263.968658899652,34037.22090925319,35420.411250236924,42535.40374009704,37336.42719274976,25390.542861968894,32824.86055031704,40877.49287756677,30197.218610950582,15322.2380212222,35094.28273769618,28448.350289390186,21266.612751680783,28657.376171106236,24121.45298533843,24799.318776609318,31194.193221896825,30980.809151096677,41278.42634848595,33086.84759246315,25972.204998887955,35798.539154764105
France,378748.9952357775,378748.9952357775,403682.99025159085,396219.23425941524,373592.6448081271,366356.9212599981,368576.445649398,378718.6875976298,370609.92651585117,387499.882560604,381991.1557905768,391828.828520719,383914.0450430799,372444.279625612,372402.7379870764,373330.50501845,374632.09545101336,365085.6551691825,356924.7765677633,350838.3309491791,343594.2615247087,346814.9860764629,323196.0902461741,320554.311215192,324620.3393092661,298605.6094406307,307332.9698458251,317569.20841149864,331562.6623425706,316023.6735186181,313127.2358656298,271753.79211760074,301799.7485347054
Germany,1083500.883450834,1083500.883450834,984708.3028256858,928856.8800976261,917821.807225638,906668.2981800833,909585.0601758386,935736.6867638888,908328.5024107505,900181.4326126797,868153.8848605868,891603.4836423346,898206.2177004308,913892.6719451413,909739.6178325706,890217.1063674778,865778.1670666509,870903.1041325626,846709.9959545041,843916.3353686676,770499.709186292,820839.1244613245,791170.4162239868,787704.4965081336,809945.8557203199,778061.9852030519,779212.834624003,780349.6872797803,767605.5655786115,739346.3807621999,692962.5926666213,643741.658496492,675066.1492539352
Greece,81114.50508820165,81114.50508820165,80995.52011781439,82292.9469635508,81129.91559804523,83548.76938056972,83866.00177543622,86653.87969373149,91562.60433854647,96199.58101206971,95213.4251461767,100196.7508626043,102692.49124759343,102024.11352459187,106337.74876106373,106763.5067492382,110335.54349097797,108791.05680153593,111872.15247011754,107693.76164536859,100825.00896639623,93927.959670171,90971.4684122273,87784.48305251809,79658.39344574157,78004.64487004343,70648.75100747606,67238.55331468392,70698.35849306088,66799.80387548519,60253.50488212285,50168.78477170157,51902.67726586069
Hungary,83093.04879754894,69959.84495619065,67134.79866746998,59211.8465722474,57732.14275224333,55411.94364564869,55181.31263734139,60412.61263468194,58500.29678056513,57030.49754523072,59753.2837161484,57333.95577473985,57280.2980504477,56959.217626165344,57365.76072021088,56733.48610329012,54332.46432653741,55609.20715979728,54179.84816183868,51212.39843887647,46864.905861338455,47215.22927133831,46006.76425144783,41961.47777363235,39551.94133863358,38633.37796007385,40970.19780163408,42577.13412954645,44157.05478441739,44681.96548448297,43870.30807739921,40183.57864448975,41323.19356717005
Iceland,7984.14424158895,7984.14424158895,7869.720555271007,8008.975031704687,8153.6765047825,8098.959155641131,8209.550361154495,8260.52430462527,8357.129569271827,8383.090569714945,8598.969355689958,8707.90218540537,8656.87071652739,8807.174261556165,8803.874180707777,8933.03243165716,8807.747200220736,9046.313221080987,9310.263398254903,9677.458347876434,9587.922896849137,9449.554761711279,9301.960546592934,9294.330318058364,9271.573194070856,9209.7224218028,9285.094979538659,9210.049331457836,9288.611684647583,9321.008490012906,9214.284376795229,9005.714100282348,9152.175739398432
Ireland,38255.58485733614,38255.58485733614,38799.152921393405,38438.18030117574,38678.95532787967,39882.81215996987,41810.616918081025,43042.195332142044,43916.39289124172,45663.60069061401,47515.76682921363,51833.58395187,54983.1608404457,53643.11551355568,53446.186738168224,52548.76598362088,54981.12131651319,54368.033899593756,53391.93783679808,52641.66950229333,46871.25144542318,47523.66260776957,43169.25671559693,42790.33634761094,42523.151791201475,41606.93372072301,43976.53734832709,44445.88217405676,45215.73702207092,44237.32768806163,42964.63728951048,41129.88459381837,43826.26836134294
Italy,433213.97521767707,433213.97521767707,417975.87438523315,420264.72304790776,424683.2366792492,406524.9365320171,424390.7442847005,417235.8326011279,430901.1000355053,445294.02277295967,440993.50985399017,447552.33618015616,437668.90483208676,441060.0836005664,466621.5567620889,466208.7197577857,465893.3018717645,459748.52046342555,474905.9938055189,445994.3905584286,388364.8348016243,394075.3436548023,389318.6152908486,377520.9912194297,328547.463975663,307584.39994348946,317384.54682452435,314926.3792234656,327933.6813299885,304086.0834122828,297929.32320381986,269900.2142351753,308306.1332835485
Japan,1092853.4927755697,1092853.4927755697,1095781.7374846516,1101895.2085993942,1091644.9861830517,1146884.2930955263,1159554.437127726,1168341.5992498607,1160034.7548035928,1119758.434683322,1157184.0318343234,1178807.9715212004,1163578.0657667636,1191437.979987455,1188448.8382094826,1187269.212627201,1200536.2445548077,1182418.0532046538,1222224.422272285,1161190.0300678615,1095378.5440777147,1143221.4967614673,1194907.0679083855,1233418.5224475453,1249990.2603791708,1201787.143374204,1166520.479419623,1149673.6305341905,1130047.2931200261,1085378.313549741,1053358.9193113896,987725.1388247963,1009951.4016032774
Kazakhstan,261307.75389285208,261307.75389285208,254451.81956260072,229622.54206790615,201875.93424742308,178274.0286576188,184710.8589729255,176798.53843041748,187262.6640932123,185334.50399076164,159110.4373379493,185480.2279378647,195051.3593092075,216502.32505446847,243524.87928623313,259127.8458167178,282893.4463618335,316377.0017788066,311143.773142581,304433.04949932307,295007.2201602564,314270.1544539857,288068.69669954054,280818.98418102966,274291.7946765668,293547.3697237008,299371.4415429486,296722.7673514316,318247.56270410237,327738.04442266613,289542.06825293065,263474.2598420218,257747.30418851506
Latvia,6263.774251632,6263.774251632,4088.2179310126257,-117.58165534252092,-2179.000893912725,-6627.270560616957,-6736.54076304314,-6826.708557427557,-5592.150962740884,-5017.097333730184,-1961.310398278967,-5818.785529989241,-5879.174028500227,-4176.358251000037,-3538.363215151443,180.58304442206227,839.3840415884094,502.7891082763929,1301.0072233685116,471.2453396447712,2601.8372441456645,5468.0149704915675,4311.153189252698,2638.6033574479807,3749.512388250824,7415.639033674832,6211.814944779367,4289.052898934005,2792.2423032371094,5839.774536949666,3962.7523323409205,6393.766335391377,8196.790956113678
Liechtenstein,206.23875325869213,206.23875325869213,197.9707024785447,209.4246113531823,214.26160683408386,219.46265884590164,209.2369550527433,202.75340327214505,226.49914136656315,229.68810432046052,225.90845324535206,241.65850008550123,216.54830658130297,222.80803266240002,236.13921766820928,238.34161137586128,237.98994066335268,244.9054160722843,223.63551354792733,244.49059156922084,227.38984463893186,211.42298651265435,201.09645643986053,209.91293599356234,209.68162766643542,178.31648091056846,171.5548451693146,159.83808325006888,167.06693061368037,164.92890170699104,161.01846194459665,146.3771377042966,145.83255800701608
Lithuania,30273.538348190545,30273.538348190545,32037.687939962336,15646.152461786329,9846.727322749093,9763.18315971924,10335.493646219978,16554.862573742983,14760.123951732714,8009.390835495304,6137.794207025955,2248.8915839371357,5174.533883919673,6198.810927501488,6950.115795232927,8082.631427377549,9599.36650199868,10331.204011535565,9832.109299106103,8549.62294707136,5436.8563949769405,3305.9591933482307,3264.87518497423,3737.3471089159384,3442.8744732081195,3934.453559553007,4970.037468449083,5845.6308039300375,6592.765382778688,7700.232498643608,7642.70890341948,6767.640384473042,7591.6084780883
Luxembourg,11814.351104022073,11814.351104022073,12365.870304434828,11727.809993950097,11750.545288464371,11089.273337814497,8623.14568739095,8638.901656120714,7909.444515436064,7114.688208798973,7502.7125637190775,8078.724379637724,8601.97664359828,9381.586693695106,9873.211753187154,11196.262567521137,11497.613425101372,11410.010579758973,10898.18946830433,10744.045399537416,10189.54570571053,10974.436933339473,10786.445394400957,10486.054218090476,9815.943931460319,9391.961361937296,8972.845645769981,8617.364855123802,8880.052864779866,9324.245587002952,9397.520622267693,7611.533272240718,7815.857573914964
Malta,2419.096268312779,2419.096268312779,2263.3055415880035,2288.2939222829755,2880.447832187995,2653.537426385677,2447.8357596685137,2529.6257083926466,2551.7008738696245,2520.609387161912,2567.7580951128452,2462.948250066233,2733.926480483022,2768.2977666570364,2981.883199512432,2848.5040676303515,2655.9074351724767,2665.5417487661007,2729.7399504542186,2702.1977189506338,2537.543818464854,2613.806652747744,2581.764073051301,2715.0870040155296,2377.4795997579936,2360.084444440007,1661.328461452718,1352.3513373226085,1531.751407243004,1546.9826196734832,1654.1101033844025,1604.8971733156545,1606.783642444453
Monaco,97.82440898209478,97.82440898209478,98.5004138383675,104.10166851154278,103.19138453138574,103.9985927705999,100.77659797897941,104.27603714171754,102.77503818784372,101.5995726395903,102.31592600180521,99.87089287042123,99.53253962186616,99.27289402186466,96.5638625873115,91.43379127106648,89.27487778356414,83.55885373305712,82.22615397598112,81.85030443648157,78.78808195257633,76.30366986719885,74.43824493905387,77.55421118393795,78.31770361521842,73.47146979135498,75.83910319150996,74.25021371589251,72.67209161959396,74.36796685771635,71.1548477856802,60.45677738917386,64.34030151509339
Netherlands,168497.7728017273,168497.7728017273,177000.7832901423,176775.97532149742,176793.41808880863,177584.34117167426,178904.84185681274,187930.54584979278,180813.69645481397,181774.9275614664,176296.1889065283,177345.89781487462,182558.22271858677,181830.89593608456,185587.2178682852,187301.31213691423,183265.28275853413,178396.95413788225,177795.36766722187,180767.09333752602,175333.7890062706,187106.4875525476,174427.04305286895,171097.18468490045,170027.5231702176,162576.25427911524,168874.9345714421,169482.7461706065,165964.99028997135,161987.2455763046,156357.81082003706,140500.36976535738,143892.19706265043
New Zealand,4937.337917097434,4937.337917097434,3654.0686670850573,5765.870675977455,4409.903897138047,4542.822613604947,5720.237935922771,7261.472405097752,8476.973245054596,6321.228519621485,5155.294150807402,4977.99176390717,6540.79301060091,8105.494159711159,8672.553797290364,8332.537775129122,11619.543975363209,13571.285343477679,14239.453366226004,7694.05990339933,5930.3257642372255,5136.837135160525,4356.478373294475,8971.504051029451,8617.607226876306,8632.337174672643,9037.387438655494,7674.712185765299,10846.331966406642,11297.04987434151,12611.854830525,10639.221104011003,12959.794276467588
Norway,24191.37773283495,24191.37773283495,20829.22482149652,22251.383223989025,22203.25357076271,26144.162538711615,22448.70285689847,26250.289924079338,27412.97415736518,25100.013960032622,24178.209938090335,22015.789914282985,21427.38383949684,19578.2015103126,19462.868159017075,20199.636512745,21985.44287569353,20650.88000495852,22283.740068444433,20113.59311370498,15130.75116123486,21084.169396073867,18895.045590004323,22130.091364163174,21871.21204768271,25999.096605194707,31374.411359028934,30589.55590097516,30923.545191235957,30246.694583058066,26708.35553674778,21267.594891369885,24711.800552719855
Poland,452062.87215431023,346473.5092705708,350617.97428136435,362359.6305559967,355703.24670931767,351244.4753801292,343473.3260620214,340703.5584565363,330885.7164511292,297083.4322755016,290056.1357066644,281687.25281385134,285613.2602362311,269557.1341393552,280255.54919611686,274107.1566094327,273777.7037100715,293534.9144507667,299791.3196701486,293841.94180337247,280377.6772967952,300354.237632736,294276.11913175206,286203.80560400157,280053.65661559004,275119.2145221067,281828.52549282723,285407.0764166326,297616.3417271636,297558.2557138411,297616.8245586083,281653.333800848,309232.6455486892
Portugal,50983.99569214121,50983.99569214121,43960.937276004144,41557.293561937586,39255.749948826575,40763.265615786215,43552.736864048115,42143.170030173824,44056.96258150281,48846.51397306885,56121.37191389959,62677.60714062873,56018.727323117855,60729.963849153464,67548.37284920442,62080.68318671474,71410.66646722435,62067.70863716002,58118.69435591659,49889.93292739126,45918.67913488177,45346.620152907584,47844.40998340677,47732.93893134799,47028.97224030047,42069.65313337008,47612.47335517045,50294.09421210972,74226.5168639658,47186.61886018253,42319.22400327866,36282.88991922327,33063.66744254249
Romania,186526.0192552011,147707.03317078328,112942.39937120066,101308.04145460961,90626.7494967139,89243.19108406872,94399.71471431226,98684.9142460695,87010.61174860464,71362.72109732809,55911.25048027594,60218.04931863819,64916.26540825031,67196.64396772123,71148.21097455839,70825.36440517953,68163.46539715772,71011.83058376523,74896.31933044361,73297.02627812805,56848.3907939444,48609.29460437687,55003.79683594454,50876.29942333923,39010.411129909335,27859.59746430314,27666.939000964245,24087.97753219223,29046.001987864893,32003.770798270263,28590.739137140496,23540.61003842139,27860.581425307468
Russian Federation,2428209.179437315,2428209.179437315,2336682.659635225,1889481.1965802687,1734339.360996756,1433249.8949004055,1329313.3286005228,1225396.1883388106,1050088.9668508852,1012985.5791207703,1006050.1904268517,971448.835507919,957908.5310515567,921213.0969309559,944835.9493777744,968576.1577923821,985799.1314494197,1041313.0731366508,1024785.6744610323,1013016.2922691719,829113.4441779832,901484.8489892163,1001752.7769595849,1006249.4662734536,996768.7876445021,947649.2022177114,1017916.029195606,983184.9858972754,1024809.9138709996,1085872.080144208,1113002.7541939972,1039199.1563881563,1158764.5325185533
Slovakia,52009.32422741106,52009.32422741106,43004.134140668495,37967.01766898791,35623.894733100795,33621.94451431838,34567.71154943386,34534.849572449275,34826.047998175854,33490.88330092847,33466.65528089411,31650.900702666615,34448.632694258245,32713.111097832378,33576.98124942237,34094.140829090116,37973.33839984297,34645.763704260506,33503.9506150436,35012.42311684692,31487.15497188002,33140.74176342517,32363.013564227775,29151.891514205974,28090.193995619076,28364.519133177433,28647.455192750727,29024.079545991062,30324.37990132238,31289.821919292073,28193.253484982088,23336.494519410255,27457.125784779735
Slovenia,11907.953255279486,10630.666717251675,9156.75821660218,8950.645070330025,9311.552575405665,9516.241180047973,10150.961679677852,10223.14875249616,10519.354047280976,9907.317234011669,9245.780440287901,8788.954339305536,9989.768462531767,9136.287131273932,9144.84007872458,9458.033721562746,9647.08062205911,9873.483829093411,9728.722677806107,10917.379734383865,8910.098048844933,9239.993388563664,9239.34476764054,8700.99453217611,9773.205036202755,14224.771003715938,14410.283740215937,15372.315370232282,15524.65919179702,15526.26235816011,10655.66928199681,9674.30327633771,9917.59321938196
Spain,195769.44268311167,195769.44268311167,205126.4498945088,213823.4124408909,204147.5311203348,216693.25749021053,228897.5087307712,215818.57234018936,228072.0281533129,236077.94934357613,256126.56500511523,265842.7924522936,265968.2401884089,287013.2229792455,291737.0408022131,307680.0466546565,323111.82207965327,312099.86882074265,322733.67258285993,291410.54587909434,254221.47232603934,238363.6337803341,239671.96621753395,236103.26805571135,211252.39603717014,211668.6228281947,225646.81232547012,214422.7686804356,227543.6723429568,222166.2820953945,205049.5465698499,169215.55458384613,185287.48613112792
Sweden,9541.952315861694,9541.952315861694,10049.545005850192,10870.317847167471,14858.13567861481,15803.73301078223,15238.666220569317,16542.985022526056,10741.298671307291,10575.42029211767,7371.253496331267,5076.674345019996,5094.853471863256,6948.148612792584,10345.402628678603,11991.261422913914,8867.87265198803,1713.321810303698,3095.6895978090797,1242.9454669463514,-2222.341696339321,1277.8505051409818,-3438.760579835801,-5955.684386545518,-5660.1793194259735,-5905.707112895977,-4438.374437366686,-3255.6559172585426,2192.3335387980514,4976.897788000691,1163.5601871149204,-6158.539911046298,-4765.054968778405
Switzerland,42313.49334355595,42313.49334355595,41183.58496117223,41948.958488034696,39270.423880587914,39614.996061383914,39544.914083387855,38578.32361677089,39186.4429524145,41737.298410138486,41970.52478178223,48818.82783053004,44188.6807428344,40805.45111829423,42024.6837195914,42539.88974738612,42828.42121780827,43385.23136396382,42463.9607698939,42587.56058516203,40310.7404927465,42176.55615011173,39934.675496411524,39672.07322686593,41378.74915874034,39006.254620685846,36709.79549810246,37132.413335342004,36423.3702539174,35717.8802804409,34899.1386316073,32747.11268161724,33850.283044822674
Türkiye,84977.66466013141,84977.66466013141,90677.57192892602,96473.2894328389,104383.80250401255,99179.48815672363,113500.72018012012,132356.6466957215,141575.74831735206,141432.3267213273,136647.85664850572,161590.1229541511,142693.99179229917,151816.5386040682,165494.5827022858,174985.86639702687,193017.58250103527,210775.75745915764,241719.93844764557,242300.71962950449,245433.98719890064,244194.1091516453,266345.1904880717,282514.2460343557,270618.88466613827,287021.8781687127,311984.92650303995,332636.8222927684,355740.1665328924,352172.2719294516,339780.4744632605,355680.4691712787,404283.1323875664
Ukraine,674589.5994265514,674589.5994265514,593104.7506901772,549720.3045175952,477240.5464818547,382190.90114598966,357647.9455348069,323706.09519510623,317762.69054405,300402.12519098626,267246.45546744467,262467.74239543837,286212.2941908221,280782.76347350766,285682.22660020436,300748.63910994836,304268.99313596834,320736.53473280184,322272.5103582456,326460.53421501664,272485.97029682394,285135.15651658224,316792.685129728,309229.99118405447,316290.01385380386,277491.72842131386,243321.20458608674,258173.39669667758,236353.32860442757,256394.24163461744,245081.14403521968,205763.39927434732,224202.0841790543
United Kingdom of Great Britain and Northern Ireland,607337.2622038256,607337.2622038256,614363.2203847475,597922.1096053956,583385.0584462105,577002.1620812862,569166.3775157833,588829.4196382763,564783.4410595656,569367.1492088307,562016.9034296797,569664.5188886405,578183.0449040702,559951.8059813032,570567.3833893036,571948.500800855,568441.0823483546,565670.0399673455,557124.5530986828,541772.1831109255,490774.6576363848,508588.672878558,465540.5457017914,483427.42299713567,473376.85676559666,434008.9272177405,417899.521751107,394833.8305490154,382359.88176205545,375082.01874149445,361714.4349767572,321430.23387779394,342591.0955324837
United States of America,4182101.6502557364,4182101.6502557364,4118538.6407880983,4237401.878329192,4355220.347165089,4432447.815221232,4522445.443990171,4689528.755317162,4784742.904618288,4828445.500691262,4903384.677573709,5108124.292884592,5007802.385453912,5079188.802620015,5118743.206095812,5321368.337124055,5278654.745499357,5170091.2221734775,5286998.002118174,5090456.792418075,4693711.657980228,4872348.617434963,4692335.149208654,4494702.753567924,4666664.272842536,4701831.062246949,4624236.643125684,4378690.753695122,4369646.418653081,4548296.499277375,4493920.576032006,3862093.5977736777,4200173.846505683


Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.
Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.
"Note 3: – means ""No data available"""
"Note 4: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions."
Note 5: Data expressed in CO2 equivalent are in accordance with the global warming potential values (GWPs) used by Parties in their submission. Please refer to the “Notes on GHG data” available on the UNFCCC website for additional information.
"Note 6: Data displayed for Australia reflects their GHG Inventory submission on 16 September 2022. The latest data submitted by Australia in 2023, including the CRT and NIR submission made under the Paris Agreement, are available on the UNFCCC website."

Source: UNFCCC GHG Data Interface

Report produced on Friday 21 November 2025 at 21:23:18 GMT-3
